PropertyTimestampInNumber,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160103171500,184.8,62.8571,49,46.8,67.9,68.0,59.8
20160103173000,220.8,75.102,54,46.8,68.8,68.0,59.8
20160103174500,244.8,83.2653,58,46.8,68.6,68.0,59.8
20160103180000,287.4,97.7551,63,46.8,69.0,68.0,59.8
20160103181500,262.2,89.1837,60,46.8,68.3,68.0,59.8
20160103183000,282.6,96.1225,62,46.8,69.2,68.0,59.8
20160103184500,274.8,93.4694,61,46.8,68.4,68.0,59.8
20160103190000,271.2,92.2449,61,46.1,67.9,68.0,59.8
20160103191500,262.2,89.1837,60,46.8,67.6,68.0,59.8
20160103193000,235.8,80.2041,56,46.8,67.5,68.0,59.8
20160103194500,220.8,75.102,55,46.8,67.5,68.0,59.8
20160103200000,206.4,70.2041,52,46.8,67.6,68.0,59.8
20160103201500,190.2,64.6939,50,46.8,67.5,68.0,59.8
20160103203000,178.2,60.6122,48,46.8,67.6,68.0,59.8
20160103204500,157.8,53.6735,45,46.8,67.6,68.0,59.8
20160103210000,152.4,51.8367,45,46.8,67.6,68.0,59.8
20160103211500,141.0,47.9592,43,46.8,67.6,68.0,59.8
20160103213000,141.0,47.9592,43,46.8,67.7,68.0,59.8
20160103214500,128.4,43.6735,41,46.8,67.6,68.0,59.8
20160103220000,116.4,39.5918,39,47.5,67.6,68.0,59.8
20160103221500,102.6,34.898,37,47.5,67.6,68.0,59.8
20160103223000,93.0,31.6327,35,47.5,67.9,68.0,59.8
20160103224500,93.0,31.6327,35,47.5,68.3,68.0,59.8
20160103230000,103.8,35.3061,37,47.5,68.3,68.0,59.8
20160103231500,103.8,35.3061,37,47.5,68.2,68.0,59.8
20160103233000,103.8,35.3061,37,47.5,68.1,68.0,59.8
20160103234500,103.8,35.3061,37,47.5,68.1,68.0,59.8
20160104000000,103.8,35.3061,37,47.5,68.4,68.0,59.8
