PropertyTimestampInNumber,CoolOutputPercent,MixedAirTemp,OutdoorAirDamperMinPositionActive,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirPressSetpoint,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20161216214500,42.945,68.309631,58.43663,58.435001,31.954122,48.852348,70.739876,1.107989,1.2,54.898293,55.0,78.385002
20161216220000,39.755001,68.309631,60.8843,60.884998,32.234146,47.387512,71.189926,1.087916,1.2,54.610264,55.0,79.660004
20161216221500,37.880001,68.039612,61.396072,61.395,32.234146,46.288879,71.783981,1.112003,1.2,54.502251,55.0,80.050003
20161216223000,49.07,67.859589,63.781929,63.779999,32.616306,46.319397,72.342041,1.120032,1.2,55.510353,55.0,81.165001
20161216224500,40.895,67.9496,68.153099,68.154999,32.757304,46.349915,72.702072,1.112003,1.2,55.06031,55.0,83.440002
20161216230000,44.525002,68.129616,68.153099,68.154999,33.2144,47.814758,72.414047,1.112003,1.2,55.024303,55.0,83.440002
20161216231500,50.584999,68.039612,68.428307,68.43,33.2144,48.211479,71.783981,1.112003,1.2,54.538254,55.0,83.584999
20161216233000,49.634998,67.751579,68.428307,68.43,33.356384,48.638725,71.189926,1.120032,1.2,54.412243,55.0,83.584999
20161216234500,42.095001,67.751579,68.428307,68.43,33.427376,49.432182,70.901894,1.128061,1.2,54.826286,55.0,83.584999
20161217000000,57.334999,67.859589,68.428307,68.43,33.56936,49.981499,70.865891,1.128061,1.2,55.348335,55.0,83.584999
20161217001500,51.494999,68.039612,68.428307,68.43,33.56936,48.730278,71.153915,1.120032,1.2,55.276329,55.0,83.584999
20161217003000,42.41,67.571564,68.428307,68.43,33.711344,48.608208,71.657974,1.112003,1.2,55.024303,55.0,83.584999
20161217004500,45.514999,67.751579,68.428307,68.43,34.032865,48.608208,72.018005,1.103974,1.2,54.538254,55.0,83.584999
20161217010000,40.884998,67.751579,68.978706,68.980003,34.032865,48.058891,72.450043,1.116018,1.2,55.024303,55.0,83.870003
20161217011500,56.73,68.039612,68.978706,68.980003,34.175835,48.69976,72.612061,1.103974,1.2,55.024303,55.0,83.870003
20161217013000,43.529999,68.039612,70.040878,70.040001,34.356358,48.852348,72.180023,1.107989,1.2,54.862289,55.0,84.419998
20161217014500,43.529999,68.129616,70.040878,70.040001,34.356358,48.852348,71.387939,1.112003,1.2,54.9883,55.0,84.419998
20161217020000,46.560001,68.129616,70.040878,70.040001,34.356358,49.34063,71.027908,1.152148,1.2,56.014404,55.0,84.419998
20161217021500,61.055,67.859589,70.040878,70.040001,34.356358,50.134087,70.82988,1.128061,1.2,54.700272,55.0,84.419998
20161217023000,44.875,67.751579,70.040878,70.040001,34.609352,50.164604,70.865891,1.112003,1.2,54.574257,55.0,84.419998
20161217024500,44.875,67.751579,70.040878,70.040001,34.609352,49.645805,71.225922,1.112003,1.2,54.9883,55.0,84.419998
20161217030000,60.064999,67.9496,70.040878,70.040001,34.754294,49.310112,71.783981,1.112003,1.2,54.502251,55.0,84.419998
20161217031500,61.490002,67.9496,70.948509,70.949997,34.754294,49.4627,72.288025,1.103974,1.2,54.898293,55.0,84.894997
20161217033000,44.549999,68.039612,72.193161,72.195,34.754294,49.279594,72.612061,1.112003,1.2,55.150314,55.0,85.540001
20161217034500,42.400002,67.751579,72.193161,72.195,34.754294,49.706841,72.414047,1.107989,1.2,54.826286,55.0,85.540001
20161217040000,42.400002,67.751579,72.193161,72.195,34.754294,49.371147,71.783981,1.107989,1.2,55.240326,55.0,85.540001
20161217041500,55.014999,68.039612,72.193161,72.195,34.754294,49.493217,71.153915,1.107989,1.2,55.47435,55.0,85.540001
20161217043000,47.564999,67.751579,72.949234,72.949997,34.754294,50.286667,70.865891,1.09996,1.2,54.448246,55.0,85.934998
20161217044500,45.139999,67.859589,73.23217,73.230003,34.754294,50.744431,70.865891,1.107989,1.2,55.186317,55.0,86.080002
20161217050000,41.584999,67.751579,73.23217,73.230003,34.754294,50.225639,71.153915,1.107989,1.2,54.412243,55.0,86.080002
20161217051500,44.965,67.751579,73.23217,73.230003,34.754294,50.225639,71.495956,1.132075,1.2,55.150314,55.0,86.080002
20161217053000,54.314999,67.751579,73.705307,73.705002,34.936296,49.889946,72.018005,1.103974,1.2,55.312332,55.0,86.324997
20161217054500,46.744999,67.751579,74.217079,74.214996,34.754294,50.103569,72.450043,1.107989,1.2,54.37624,55.0,86.595001
20161217060000,45.98,67.9496,74.217079,74.214996,34.936296,50.469772,72.414047,1.128061,1.2,54.790279,55.0,86.595001
20161217061500,45.209999,67.859589,74.217079,74.214996,34.936296,49.859428,71.945999,1.13609,1.2,54.664268,55.0,86.595001
20161217063000,65.209999,67.751579,74.217079,74.214996,34.790368,49.4627,71.225922,1.140104,1.2,55.024303,55.0,86.595001
20161217064500,44.244999,68.129616,74.217079,74.214996,34.790368,50.042534,70.991898,1.124047,1.2,54.9883,55.0,86.595001
20161217070000,50.805,67.661568,75.0,75.0,34.790368,51.019089,70.82988,1.144119,1.2,54.664268,55.0,87.294998
20161217071500,43.98,67.661568,75.0,75.0,34.790368,50.683395,71.027908,1.140104,1.2,55.186317,55.0,87.294998
20161217073000,43.98,67.661568,75.0,75.0,34.790368,50.50029,71.495956,1.188278,1.2,55.024303,55.0,87.294998
20161217074500,68.739998,67.751579,75.0,75.0,34.790368,50.713913,71.981995,1.128061,1.2,54.826286,55.0,88.169998
20161217080000,49.919998,67.661568,75.0,75.0,35.082224,50.439255,72.450043,1.107989,1.2,54.610264,55.0,91.614998
20161217081500,49.919998,68.309631,75.0,75.0,35.082224,51.019089,72.612061,1.128061,1.2,55.024303,55.0,91.849998
20161217083000,49.919998,68.579659,75.0,75.0,35.228152,50.469772,72.342041,1.112003,1.2,54.898293,55.0,91.849998
20161217084500,49.919998,69.137711,75.0,75.0,35.447044,49.828911,71.657974,1.156162,1.2,54.9883,55.0,91.849998
20161217090000,49.919998,69.227722,75.0,75.0,36.030756,49.432182,71.189926,1.196307,1.2,55.024303,55.0,91.849998
20161217091500,49.919998,68.579659,75.0,75.0,36.058772,50.835983,70.82988,1.17222,1.2,54.826286,55.0,91.849998
20161217093000,49.919998,69.407745,75.0,75.0,36.659654,50.958054,70.991898,1.288639,1.2,54.700272,55.0,91.245003
20161217094500,49.919998,69.857788,75.0,75.0,36.659654,50.927536,71.189926,1.272581,1.2,54.826286,55.0,91.245003
20161217100000,42.790001,70.055801,63.2164,63.215,36.659654,51.019089,71.69397,1.312726,1.2,54.538254,55.0,79.660004
20161217101500,42.790001,70.685867,60.668755,60.669998,36.622016,50.958054,72.144012,1.240466,1.2,55.024303,55.0,79.550003
20161217103000,42.790001,70.505852,60.668755,60.669998,36.905984,51.110641,72.576065,1.252509,1.2,55.024303,55.0,79.550003
20161217104500,42.790001,70.685867,60.668755,60.669998,36.790367,51.354782,72.486053,1.156162,1.2,55.150314,55.0,79.550003
20161217110000,49.189999,70.685867,62.763931,62.764999,37.0003,50.805466,71.981995,1.112003,1.2,54.664268,55.0,80.635002
20161217111500,43.974998,70.595863,62.763931,62.764999,37.0003,50.195122,71.819984,1.132075,1.2,55.024303,55.0,80.635002
20161217113000,43.974998,70.595863,64.574448,64.574997,36.998736,50.988571,72.144012,1.107989,1.2,55.276329,55.0,81.580002
20161217114500,43.974998,70.685867,64.574448,64.574997,37.062248,50.958054,72.612061,1.124047,1.2,55.150314,55.0,81.580002
20161217120000,43.974998,70.595863,64.574448,64.574997,37.409898,51.019089,73.098114,1.148133,1.2,55.348335,55.0,81.580002
20161217121500,43.974998,70.595863,64.574448,64.574997,37.189357,50.744431,73.692169,1.144119,1.2,55.348335,55.0,81.580002
20161217123000,46.080002,70.955902,64.574448,64.574997,37.459521,50.347702,74.052208,1.13609,1.2,55.510353,55.0,81.580002
20161217124500,46.735001,70.685867,65.163498,65.165001,37.459521,50.530807,74.322235,1.112003,1.2,55.312332,55.0,81.885002
20161217130000,46.735001,70.865891,65.163498,65.165001,37.594603,49.920464,74.754272,1.148133,1.2,55.348335,55.0,81.885002
