PropertyTimestampInNumber,CoolOutputPercent,MixedAirTemp,OutdoorAirDamperMinPositionActive,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160102020000,0.0,63.4671,15.0,15.0,16.4962,26.7882,1.4251,53.9262,56.0,57.8
20160102021500,0.0,63.4671,15.0,15.0,16.4962,26.7882,1.4251,54.8623,56.0,57.8
20160102023000,0.0,63.4671,15.0,15.0,16.4962,26.7882,1.4492,54.8623,56.0,58.595
20160102024500,0.0,63.4671,15.0,15.0,16.366,26.483,1.4532,54.8623,56.0,58.595
20160102030000,0.0,63.4671,15.0,15.0,16.44,26.483,1.4532,54.8623,56.0,58.595
20160102031500,0.0,63.4671,15.0,15.0,16.4217,26.2084,1.4412,54.8623,56.0,58.595
20160102033000,0.0,63.4671,15.0,15.0,16.366,26.2084,1.4532,54.8623,56.0,58.595
20160102034500,0.0,64.1152,15.0,15.0,16.44,25.9032,1.4492,54.8623,56.0,58.595
20160102040000,0.0,64.1152,15.0,15.0,16.44,25.9032,1.5014,55.6364,56.0,59.695
20160102041500,0.0,63.4671,15.0,15.0,16.3276,25.9032,1.5054,54.8623,56.0,59.695
20160102043000,0.0,63.4671,15.0,15.0,16.0711,25.6285,1.5134,54.8623,56.0,59.695
20160102044500,0.0,63.4671,15.0,15.0,15.8646,25.6285,1.5094,54.8623,56.0,59.695
20160102050000,0.0,63.4671,15.0,15.0,15.9904,25.6285,1.5134,54.8623,56.0,59.695
20160102051500,0.0,63.4671,15.0,15.0,15.9904,25.2928,1.5134,54.8623,56.0,59.695
20160102053000,0.0,63.4671,15.0,15.0,16.1028,25.2928,1.5175,54.8623,56.0,59.695
20160102054500,0.0,63.4671,15.0,15.0,15.9904,25.2928,1.5255,54.8623,56.0,59.695
20160102060000,0.0,63.4671,15.0,15.0,15.8218,25.2928,1.5857,54.8623,56.0,60.645
20160102061500,0.0,63.4671,15.0,15.0,16.0038,25.2928,1.5656,54.8623,56.0,60.645
20160102063000,0.0,63.4671,15.0,15.0,15.9342,25.0182,1.5616,54.8623,56.0,60.645
20160102064500,0.0,63.4671,15.0,15.0,15.9342,25.0182,1.5175,54.8623,56.0,60.645
20160102070000,0.0,63.4671,15.0,15.0,16.0038,25.0182,1.5134,54.8623,56.0,60.645
20160102071500,0.0,63.4671,15.0,15.0,16.0038,25.0182,1.5134,54.8623,56.0,60.645
