PropertyTimestampInNumber,CoolOutputPercent,MixedAirTemp,OutdoorAirDamperMinPositionActive,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SupplyAirPress,SupplyAirPressSetpoint,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160101201500,0.0,58.7327,15.0,15.0,17.2042,1.5456,1.5,55.0243,56.0,76.505
20160101203000,0.0,58.7327,15.0,15.0,17.2042,1.5335,1.5,55.0243,56.0,76.505
20160101204500,0.0,58.7327,15.0,15.0,17.2544,1.5335,1.5,55.0243,56.0,76.505
20160101210000,0.0,58.7327,15.0,15.0,16.985,1.5335,1.5,55.0243,56.0,76.505
20160101211500,0.0,58.7327,15.0,15.0,16.985,1.5335,1.5,55.0243,56.0,76.505
20160101213000,0.0,58.7327,15.0,15.0,16.912,1.5415,1.5,55.0243,56.0,76.505
20160101214500,0.085,58.7327,15.0,15.0,17.0323,1.5295,1.5,55.0243,56.0,76.505
20160101220000,0.0,58.7327,15.0,15.0,16.9434,1.5335,1.5,55.0243,56.0,76.505
20160101221500,0.0,58.7327,15.0,15.0,17.0617,1.5375,1.5,55.6004,56.0,76.505
20160101223000,0.0,58.7327,15.0,15.0,16.8842,1.5335,1.5,55.6004,56.0,76.505
20160101224500,0.0,58.7327,15.0,15.0,16.8842,1.5415,1.5,54.7363,56.0,76.505
20160101230000,0.0,59.3627,15.0,15.0,16.8102,1.5215,1.5,55.6004,56.0,76.505
20160101231500,0.0,59.3627,15.0,15.0,16.8102,1.5255,1.5,55.6004,56.0,76.505
20160101233000,0.0,58.5527,15.0,15.0,16.6621,1.5415,1.5,54.9883,56.0,76.505
20160101234500,0.0,58.5527,15.0,15.0,16.7198,1.4813,1.5,54.9883,56.0,76.505
20160102000000,0.0,59.2727,15.0,15.0,16.9505,1.4532,1.5,55.6004,56.0,76.505
20160102001500,0.0,58.5527,15.0,15.0,16.8351,1.4613,1.5,55.0243,56.0,76.505
20160102003000,0.0,59.1827,15.0,15.0,16.9505,1.4492,1.5,55.0243,56.0,76.505
20160102004500,0.0,59.1827,15.0,15.0,16.874,1.4532,1.5,55.0243,56.0,76.505
20160102010000,0.0,59.1827,15.0,15.0,16.8351,1.4572,1.5,55.0243,56.0,76.505
20160102011500,0.0,59.1827,15.0,15.0,16.7198,1.397,1.5,55.0243,56.0,76.505
20160102013000,0.0,58.3726,15.0,15.0,16.8351,1.4251,1.5,55.0243,56.0,76.505
20160102014500,0.12,59.2727,15.0,15.0,16.7596,1.4291,1.5,55.6364,56.0,76.505
20160102020000,0.0,58.1926,15.0,15.0,16.4962,1.4532,1.5,54.9523,56.0,76.505
20160102021500,0.0,58.1926,15.0,15.0,16.4962,1.4452,1.5,54.9523,56.0,76.505
20160102023000,0.0,59.0927,15.0,15.0,16.4962,1.4452,1.5,55.6004,56.0,76.505
20160102024500,0.0,59.0927,15.0,15.0,16.366,1.4613,1.5,55.6004,56.0,76.505
20160102030000,0.0,59.0927,15.0,15.0,16.44,1.4693,1.5,55.6004,56.0,76.505
20160102031500,0.0,58.2826,15.0,15.0,16.4217,1.4733,1.5,55.0243,56.0,76.505
20160102033000,0.0,59.0027,15.0,15.0,16.366,1.4653,1.5,55.0243,56.0,76.505
20160102034500,0.0,59.0027,15.0,15.0,16.44,1.4733,1.5,55.0243,56.0,76.505
20160102040000,0.0,59.0027,15.0,15.0,16.44,1.4733,1.5,55.0243,56.0,76.505
20160102041500,0.0,58.1026,15.0,15.0,16.3276,1.4653,1.5,55.0243,56.0,76.505
20160102043000,0.0,59.2727,15.0,15.0,16.0711,1.4693,1.5,55.6004,56.0,76.505
20160102044500,0.0,59.2727,15.0,15.0,15.8646,1.4733,1.5,55.0243,56.0,76.505
20160102050000,0.0,59.2727,15.0,15.0,15.9904,1.4773,1.5,55.6904,56.0,76.505
20160102051500,0.0,59.2727,15.0,15.0,15.9904,1.4613,1.5,55.6904,56.0,76.505
20160102053000,0.0,58.1926,15.0,15.0,16.1028,1.4613,1.5,54.8983,56.0,76.505
20160102054500,0.0,59.0027,15.0,15.0,15.9904,1.4572,1.5,54.8983,56.0,76.505
20160102060000,0.0,59.0027,15.0,15.0,15.8218,1.4572,1.5,54.8983,56.0,76.505
20160102061500,0.0,59.0027,15.0,15.0,16.0038,1.4532,1.5,54.8983,56.0,76.505
20160102063000,0.0,59.0027,15.0,15.0,15.9342,1.4693,1.5,54.8983,56.0,76.505
20160102064500,0.0,59.0027,15.0,15.0,15.9342,1.4693,1.5,54.8983,56.0,76.505
