PropertyTimestampInNumber,CoolOutputPercent,OutdoorAirDamperMinPositionActive,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirPressSetpoint,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160101173000,0.0,15.0,15.0,18.2404,40.3685,68.1656,1.7664,1.7,51.532,56.0,80.795
20160101174500,0.0,15.0,15.0,18.2404,40.3685,68.1656,1.7623,1.7,51.532,56.0,80.795
20160101180000,0.0,15.0,15.0,18.0738,40.3685,68.1656,1.7623,1.7,52.234,56.0,80.795
20160101181500,0.0,15.0,15.0,17.9496,40.3685,68.1656,1.7623,1.7,51.532,56.0,80.795
20160101183000,0.0,15.0,15.0,17.9659,40.3685,68.1656,1.7664,1.7,51.532,56.0,80.795
20160101184500,0.0,15.0,15.0,17.7632,40.3685,68.1656,1.7583,1.7,51.532,56.0,80.795
20160101190000,0.0,15.0,15.0,17.4651,40.3685,68.1656,1.7664,1.7,51.532,56.0,80.795
20160101191500,0.0,15.0,15.0,17.4651,40.3685,68.1656,1.7623,1.7,51.532,56.0,80.795
20160101193000,0.0,15.0,15.0,17.152,40.3685,68.1656,1.7623,1.7,51.532,56.0,80.795
20160101194500,0.0,15.0,15.0,17.2772,40.3685,68.1656,1.7623,1.7,52.108,56.0,80.795
20160101200000,0.0,15.0,15.0,17.2042,40.3685,68.1656,1.7664,1.7,52.108,56.0,80.795
20160101201500,0.0,15.0,15.0,17.2042,40.3685,68.1656,1.7704,1.7,51.1899,56.0,80.795
20160101203000,0.0,15.0,15.0,17.2042,40.3685,68.1656,1.7623,1.7,52.072,56.0,80.795
20160101204500,0.0,15.0,15.0,17.2544,39.9107,68.1656,1.7704,1.7,52.072,56.0,80.795
20160101210000,0.0,15.0,15.0,16.985,39.9107,68.1656,1.7704,1.7,51.1899,56.0,80.795
20160101211500,0.0,15.0,15.0,16.985,39.9107,68.1656,1.7623,1.7,51.892,56.0,80.795
20160101213000,0.0,15.0,15.0,16.912,39.9107,68.1656,1.7704,1.7,51.892,56.0,80.795
20160101214500,0.0,15.0,15.0,17.0323,39.9107,68.1656,1.7623,1.7,51.892,56.0,80.795
20160101220000,0.0,15.0,15.0,16.9434,39.9107,68.1656,1.7664,1.7,51.892,56.0,80.795
20160101221500,0.0,15.0,15.0,17.0617,39.9107,68.1656,1.7704,1.7,51.892,56.0,80.795
20160101223000,0.0,15.0,15.0,16.8842,39.9107,68.1656,1.7623,1.7,51.892,56.0,80.795
20160101224500,0.0,15.0,15.0,16.8842,39.4835,68.1656,1.7704,1.7,51.892,56.0,80.795
20160101230000,0.0,15.0,15.0,16.8102,39.4835,68.1656,1.7664,1.7,51.892,56.0,80.795
20160101231500,0.0,15.0,15.0,16.8102,39.4835,68.1656,1.7623,1.7,51.892,56.0,80.795
20160101233000,0.0,15.0,15.0,16.6621,39.4835,68.1656,1.7623,1.7,51.892,56.0,80.795
20160101234500,0.0,15.0,15.0,16.7198,39.4835,68.1656,1.7664,1.7,50.8479,56.0,80.795
20160102000000,0.0,15.0,15.0,16.9505,39.4835,68.1656,1.7623,1.7,51.982,56.0,80.795
20160102001500,0.0,15.0,15.0,16.8351,39.4835,68.1656,1.7704,1.7,51.3159,56.0,80.795
20160102003000,0.0,15.0,15.0,16.9505,39.4835,68.1656,1.7623,1.7,51.946,56.0,80.795
20160102004500,0.0,15.0,15.0,16.874,38.9647,68.1656,1.7664,1.7,51.1899,56.0,80.795
20160102010000,0.0,15.0,15.0,16.8351,38.9647,68.1656,1.7664,1.7,51.1899,56.0,80.795
20160102011500,0.0,15.0,15.0,16.7198,38.9647,68.1656,1.6218,1.7,51.1899,56.0,77.635
20160102013000,0.0,15.0,15.0,16.8351,38.0797,67.3015,1.6138,1.7,51.1899,56.0,76.66
20160102014500,0.0,15.0,15.0,16.7596,38.0797,67.3015,1.6098,1.7,51.1899,56.0,76.66
20160102020000,0.0,15.0,15.0,16.4962,38.0797,66.3834,1.6178,1.7,50.2718,56.0,76.66
20160102021500,0.0,15.0,15.0,16.4962,38.0797,66.3834,1.6138,1.7,50.9019,56.0,76.66
20160102023000,0.0,15.0,15.0,16.4962,38.0797,66.3834,1.6098,1.7,50.9019,56.0,76.66
20160102024500,0.0,15.0,15.0,16.366,38.7816,66.3834,1.6138,1.7,50.9019,56.0,76.66
20160102030000,0.0,15.0,15.0,16.44,38.7816,66.3834,1.6098,1.7,51.64,56.0,76.66
20160102031500,0.0,15.0,15.0,16.4217,38.3848,66.3834,1.6098,1.7,50.7399,56.0,76.66
20160102033000,0.0,15.0,15.0,16.366,38.3848,66.3834,1.6299,1.7,51.3519,56.0,76.66
20160102034500,0.0,15.0,15.0,16.44,38.3848,66.3834,1.6259,1.7,50.6859,56.0,76.66
20160102040000,0.0,15.0,15.0,16.44,37.9881,66.3834,1.6259,1.7,51.568,56.0,76.66
20160102041500,0.0,15.0,15.0,16.3276,37.9881,66.3834,1.6339,1.7,50.5239,56.0,76.66
20160102043000,0.0,15.0,15.0,16.0711,37.9881,66.3834,1.6259,1.7,51.568,56.0,76.66
20160102044500,0.0,15.0,15.0,15.8646,37.9881,66.3834,1.6339,1.7,51.568,56.0,76.66
20160102050000,0.0,15.0,15.0,15.9904,37.9881,66.3834,1.6178,1.7,51.568,56.0,76.66
20160102051500,0.0,15.0,15.0,15.9904,37.5914,66.3834,1.6299,1.7,51.568,56.0,76.66
20160102053000,0.0,15.0,15.0,16.1028,37.5914,66.3834,1.6339,1.7,50.6139,56.0,76.66
20160102054500,0.0,15.0,15.0,15.9904,37.1641,67.0675,1.6339,1.7,51.568,56.0,76.66
20160102060000,0.0,15.0,15.0,15.8218,37.1641,67.0675,1.6178,1.7,50.9019,56.0,76.66
20160102061500,0.0,15.0,15.0,16.0038,37.1641,67.0675,1.6218,1.7,50.9019,56.0,76.66
20160102063000,0.0,15.0,15.0,15.9342,37.1641,67.0675,1.6218,1.7,51.568,56.0,76.66
20160102064500,0.0,15.0,15.0,15.9342,36.6759,67.0675,1.6218,1.7,51.568,56.0,76.66
20160102070000,0.0,15.0,15.0,16.0038,36.6759,67.0675,1.6259,1.7,51.568,56.0,76.66
20160102071500,0.0,15.0,15.0,16.0038,36.6759,67.0675,1.6339,1.7,50.9019,56.0,76.66
20160102073000,0.0,15.0,15.0,15.8904,36.6759,67.0675,1.6178,1.7,51.982,56.0,76.66
20160102074500,0.0,15.0,15.0,15.8904,36.6759,67.0675,1.6259,1.7,50.6499,56.0,76.66
20160102080000,0.0,15.0,15.0,15.8904,36.6759,67.0675,1.6218,1.7,51.856,56.0,76.66
20160102081500,0.0,15.0,15.0,15.9342,36.1876,67.0675,1.6299,1.7,51.2259,56.0,76.66
20160102083000,0.0,15.0,15.0,15.8218,36.1876,67.0675,1.6259,1.7,50.5239,56.0,76.66
20160102084500,0.0,15.0,15.0,15.6417,36.1876,67.0675,1.6259,1.7,51.532,56.0,76.66
20160102090000,0.0,15.0,15.0,15.7532,35.7909,67.0675,1.6259,1.7,51.532,56.0,76.66
20160102091500,0.0,15.0,15.0,15.8646,35.7909,67.0675,1.6218,1.7,50.5599,56.0,76.66
20160102093000,0.0,15.0,15.0,16.0317,35.7909,67.0675,1.6178,1.7,51.766,56.0,76.66
20160102094500,0.0,15.0,15.0,16.1431,35.7909,67.0675,1.6218,1.7,51.766,56.0,76.66
20160102100000,0.0,15.0,15.0,16.2919,35.7909,67.0675,1.6178,1.7,51.766,56.0,76.66
20160102101500,0.0,15.0,15.0,16.1439,35.7909,67.0675,1.6178,1.7,51.766,56.0,76.66
20160102103000,0.0,15.0,15.0,16.2726,35.3331,67.0675,1.6178,1.7,50.9019,56.0,76.66
20160102104500,0.0,15.0,15.0,16.3821,35.3331,67.0675,1.6178,1.7,52.018,56.0,76.66
20160102110000,0.0,15.0,15.0,16.6009,35.3331,67.0675,1.6218,1.7,52.018,56.0,76.66
20160102111500,0.0,15.0,15.0,16.7946,34.7838,67.0675,1.6138,1.7,52.018,56.0,76.66
20160102113000,0.0,15.0,15.0,16.7946,35.1805,67.0675,1.6178,1.7,52.018,56.0,76.66
20160102114500,0.0,15.0,15.0,16.7147,35.1805,67.0675,1.6218,1.7,50.5599,56.0,76.66
20160102120000,0.0,15.0,15.0,16.8477,34.6922,67.0675,1.6138,1.7,51.982,56.0,76.66
20160102121500,0.0,15.0,15.0,16.9542,34.2039,67.0675,1.6178,1.7,51.982,56.0,76.66
20160102123000,0.0,15.0,15.0,17.0295,34.2039,67.0675,1.6178,1.7,52.9361,56.0,76.66
20160102124500,0.0,15.0,15.0,17.135,34.6312,67.0675,1.6178,1.7,51.2259,56.0,76.66
20160102130000,0.0,15.0,15.0,17.135,34.6312,67.0675,1.6098,1.7,52.018,56.0,76.66
20160102131500,0.0,15.0,15.0,17.2405,34.2345,67.0675,1.6178,1.7,52.018,56.0,76.66
20160102133000,0.0,15.0,15.0,17.3988,34.2345,67.0675,1.6299,1.7,52.018,56.0,77.785
20160102134500,0.0,15.0,15.0,17.3109,34.2345,67.0675,1.6299,1.7,52.9001,56.0,77.785
20160102140000,0.0,15.0,15.0,17.4155,34.2345,67.0675,1.6339,1.7,51.604,56.0,77.785
20160102141500,0.0,15.0,15.0,17.52,34.2345,67.0675,1.6178,1.7,52.5221,56.0,77.785
20160102143000,0.0,15.0,15.0,17.729,34.2345,67.0675,1.6299,1.7,51.532,56.0,77.785
20160102144500,0.0,15.0,15.0,17.7813,33.5936,67.0675,1.6178,1.7,52.8461,56.0,77.785
20160102150000,0.0,15.0,15.0,17.689,33.5936,67.0675,1.6259,1.7,52.8461,56.0,77.785
20160102151500,0.0,15.0,15.0,17.6992,33.5936,67.0675,1.6259,1.7,51.946,56.0,77.785
20160102153000,0.0,15.0,15.0,17.8735,33.5936,67.0675,1.6299,1.7,51.946,56.0,77.785
20160102154500,0.0,15.0,15.0,18.0581,33.5936,67.0675,1.6218,1.7,51.946,56.0,77.785
20160102160000,0.0,15.0,15.0,18.4615,33.5936,67.0675,1.6259,1.7,51.946,56.0,77.785
20160102161500,0.0,15.0,15.0,18.4272,33.5936,67.0675,1.6259,1.7,51.946,56.0,77.785
20160102163000,0.0,15.0,15.0,18.2195,33.5936,67.0675,1.6259,1.7,51.0279,56.0,77.785
20160102164500,0.0,15.0,15.0,18.0741,33.5936,67.0675,1.6339,1.7,51.0279,56.0,77.785
20160102170000,0.0,15.0,15.0,18.1149,33.5936,67.0675,1.6259,1.7,51.0279,56.0,77.785
20160102171500,0.0,15.0,15.0,18.0765,33.5936,67.0675,1.6339,1.7,51.0279,56.0,77.785
20160102173000,0.0,15.0,15.0,18.1171,33.5936,67.0675,1.6259,1.7,51.766,56.0,77.785
20160102174500,0.0,15.0,15.0,18.0738,34.0819,67.0675,1.6259,1.7,51.2259,56.0,77.785
20160102180000,0.0,15.0,15.0,17.9496,34.0819,67.0675,1.6218,1.7,51.856,56.0,77.785
20160102181500,0.0,15.0,15.0,17.9496,34.0819,67.0675,1.6299,1.7,51.1899,56.0,77.785
20160102183000,0.0,15.0,15.0,18.3223,34.0819,67.0675,1.6218,1.7,51.856,56.0,77.785
20160102184500,0.0,15.0,15.0,18.3223,34.0819,67.0675,1.6259,1.7,51.856,56.0,77.785
20160102190000,0.0,15.0,15.0,18.2807,34.0819,67.0675,1.6259,1.7,51.856,56.0,77.785
20160102191500,0.0,15.0,15.0,18.2807,34.4786,67.0675,1.6259,1.7,51.856,56.0,77.785
20160102193000,0.0,15.0,15.0,18.2807,34.4786,67.0675,1.6299,1.7,50.9019,56.0,77.785
20160102194500,0.0,15.0,15.0,18.3418,34.4786,67.0675,1.6259,1.7,50.9019,56.0,77.785
20160102200000,0.0,15.0,15.0,18.2953,34.4786,67.0675,1.6259,1.7,51.73,56.0,77.785
20160102201500,0.0,15.0,15.0,18.4156,34.4786,67.0675,1.6178,1.7,51.73,56.0,77.785
20160102203000,0.0,15.0,15.0,18.2953,34.8753,67.0675,1.6299,1.7,51.73,56.0,77.785
20160102204500,0.0,15.0,15.0,18.2109,34.8753,67.0675,1.6259,1.7,51.73,56.0,77.785
20160102210000,0.0,15.0,15.0,18.1266,34.8753,67.0675,1.6259,1.7,51.73,56.0,77.785
20160102211500,0.0,15.0,15.0,18.1266,34.8753,67.0675,1.6299,1.7,51.73,56.0,77.785
20160102213000,0.0,15.0,15.0,18.1595,34.8753,67.0675,1.6299,1.7,51.73,56.0,77.785
20160102214500,0.0,15.0,15.0,18.1595,34.8753,67.0675,1.6339,1.7,51.0639,56.0,77.785
20160102220000,0.0,15.0,15.0,17.9248,34.8753,67.0675,1.6138,1.7,52.018,56.0,77.785
20160102221500,0.0,15.0,15.0,18.0082,34.8753,67.0675,1.6259,1.7,52.018,56.0,77.785
20160102223000,0.0,15.0,15.0,18.0916,34.8753,67.0675,1.6259,1.7,51.0999,56.0,77.785
20160102224500,0.0,15.0,15.0,17.9248,34.8753,67.0675,1.6178,1.7,51.766,56.0,77.785
20160102230000,0.0,15.0,15.0,18.2195,34.8753,67.0675,1.6259,1.7,51.766,56.0,77.785
20160102231500,0.0,15.0,15.0,18.1321,34.8753,67.0675,1.6339,1.7,51.1899,56.0,77.785
20160102233000,0.0,15.0,15.0,18.1893,34.8753,67.0675,1.6218,1.7,51.856,56.0,77.785
20160102234500,0.0,15.0,15.0,18.1893,34.8753,67.0675,1.6259,1.7,51.856,56.0,77.785
20160103000000,0.0,15.0,15.0,18.2195,34.8753,67.0675,1.6299,1.7,50.9739,56.0,77.785
20160103001500,0.0,15.0,15.0,18.1321,34.8753,67.0675,1.6259,1.7,52.234,56.0,77.785
20160103003000,0.0,15.0,15.0,17.9574,34.8753,67.0675,1.6218,1.7,52.234,56.0,77.785
20160103004500,0.0,15.0,15.0,17.845,34.8753,67.0675,1.6178,1.7,50.8479,56.0,77.785
20160103010000,0.0,15.0,15.0,17.845,34.8753,67.0675,1.6259,1.7,52.018,56.0,77.785
20160103011500,0.0,15.0,15.0,17.845,34.8753,67.0675,1.6259,1.7,52.018,56.0,77.785
20160103013000,0.0,15.0,15.0,17.9314,34.8753,67.0675,1.6259,1.7,51.3519,56.0,77.785
20160103014500,0.0,15.0,15.0,17.818,34.8753,67.0675,1.6218,1.7,51.3519,56.0,77.785
20160103020000,0.0,15.0,15.0,17.6202,34.8753,67.0675,1.6218,1.7,51.3519,56.0,77.785
20160103021500,0.0,15.0,15.0,17.7326,34.8753,67.0675,1.6218,1.7,51.3519,56.0,77.785
20160103023000,0.0,15.0,15.0,17.6202,34.8753,67.0675,1.6259,1.7,51.3519,56.0,77.785
20160103024500,0.0,15.0,15.0,17.7326,34.8753,67.0675,1.6259,1.7,51.892,56.0,77.785
20160103030000,0.0,15.0,15.0,17.5912,34.4481,67.0675,1.6259,1.7,51.892,56.0,77.785
20160103031500,0.0,15.0,15.0,17.7326,34.4481,67.0675,1.6259,1.7,51.3159,56.0,77.785
20160103033000,0.0,15.0,15.0,17.7326,34.4481,67.0675,1.6218,1.7,52.072,56.0,77.785
20160103034500,0.0,15.0,15.0,17.7326,34.4481,67.0675,1.6259,1.7,52.072,56.0,77.785
20160103040000,0.0,15.0,15.0,17.7326,34.4481,67.0675,1.6259,1.7,51.0639,56.0,77.785
20160103041500,0.0,15.0,15.0,17.6202,34.4481,67.0675,1.6259,1.7,51.766,56.0,77.785
20160103043000,0.0,15.0,15.0,17.5345,34.4481,67.0675,1.6259,1.7,51.766,56.0,77.785
20160103044500,0.0,15.0,15.0,17.6174,34.4481,67.0675,1.6178,1.7,51.766,56.0,77.785
20160103050000,0.0,15.0,15.0,17.585,34.4481,67.0675,1.6299,1.7,51.766,56.0,77.785
20160103051500,0.0,15.0,15.0,17.4696,34.4481,67.0675,1.6259,1.7,51.766,56.0,77.785
20160103053000,0.0,15.0,15.0,17.5506,34.4481,67.0675,1.6178,1.7,51.766,56.0,77.785
20160103054500,0.0,15.0,15.0,17.4342,34.4481,67.0675,1.6299,1.7,51.766,56.0,77.785
20160103060000,0.0,15.0,15.0,17.585,34.4481,67.0675,1.6178,1.7,51.766,56.0,77.785
20160103061500,0.0,15.0,15.0,17.5506,34.4481,67.0675,1.6259,1.7,51.0639,56.0,77.785
20160103063000,0.0,15.0,15.0,17.5506,34.4481,67.0675,1.6259,1.7,52.018,56.0,77.785
20160103064500,0.0,15.0,15.0,17.6315,34.4481,67.0675,1.6218,1.7,52.018,56.0,77.785
20160103070000,0.0,15.0,15.0,17.6315,33.9903,67.0675,1.6259,1.7,52.018,56.0,77.785
20160103071500,0.0,15.0,15.0,17.5941,33.9903,67.0675,1.6218,1.7,52.018,56.0,77.785
20160103073000,0.0,15.0,15.0,17.4951,33.9903,67.0675,1.6259,1.7,52.018,56.0,77.785
20160103074500,0.0,15.0,15.0,17.5548,33.9903,67.0675,1.6218,1.7,52.018,56.0,77.785
20160103080000,0.0,15.0,15.0,17.6741,33.9903,67.0675,1.6138,1.7,52.018,56.0,77.785
20160103081500,0.0,15.0,15.0,17.5941,33.9903,67.0675,1.6259,1.7,50.8479,56.0,77.785
20160103083000,0.0,15.0,15.0,17.5941,33.9903,67.0675,1.6178,1.7,52.306,56.0,77.785
20160103084500,0.0,15.0,15.0,17.6315,33.9903,67.0675,1.6178,1.7,51.766,56.0,77.785
20160103090000,0.0,15.0,15.0,17.7124,33.9903,67.0675,1.6218,1.7,51.766,56.0,77.785
20160103091500,0.0,15.0,15.0,18.1149,33.9903,67.0675,1.6218,1.7,51.766,56.0,77.785
20160103093000,0.0,15.0,15.0,18.2449,33.9903,67.0675,1.6178,1.7,52.306,56.0,77.785
20160103094500,0.0,15.0,15.0,18.4815,33.9903,67.0675,1.6218,1.7,52.306,56.0,77.785
20160103100000,0.0,15.0,15.0,18.6232,34.4481,67.0675,1.6218,1.7,52.9721,56.0,77.785
20160103101500,0.0,15.0,15.0,18.8304,34.4481,67.0675,1.6138,1.7,52.108,56.0,77.785
20160103103000,0.0,15.0,15.0,18.9117,34.4481,67.0675,1.6178,1.7,52.6841,56.0,77.785
20160103104500,0.0,15.0,15.0,18.9328,34.4481,67.0675,1.6178,1.7,52.6841,56.0,77.785
20160103110000,0.0,15.0,15.0,18.65,34.4481,67.0675,1.6178,1.7,52.6841,56.0,77.785
20160103111500,0.0,15.0,15.0,18.65,34.4481,67.0675,1.6138,1.7,53.3501,56.0,77.785
20160103113000,0.0,15.0,15.0,18.5842,34.4481,67.0675,1.6178,1.7,52.5581,56.0,77.785
20160103114500,0.0,15.0,15.0,18.445,34.4481,67.0675,1.6178,1.7,52.5581,56.0,77.785
20160103120000,0.0,15.0,15.0,18.4538,34.4481,67.0675,1.6178,1.7,52.5581,56.0,77.785
20160103121500,0.0,15.0,15.0,18.5593,34.4481,67.0675,1.6098,1.7,53.3501,56.0,77.785
20160103123000,0.0,15.0,15.0,18.7703,34.4481,67.8056,1.6218,1.7,53.3501,56.0,77.785
20160103124500,0.0,15.0,15.0,18.9286,34.4481,67.8056,1.6138,1.7,52.5221,56.0,77.785
20160103130000,0.0,15.0,15.0,19.0341,34.4481,67.8056,1.6339,1.7,53.6742,56.0,77.785
20160103131500,0.0,15.0,15.0,19.3502,33.9293,67.8056,1.6339,1.7,53.0081,56.0,77.785
20160103133000,0.0,15.0,15.0,19.5058,33.9293,67.8056,1.6299,1.7,53.8362,56.0,77.785
20160103134500,0.0,15.0,15.0,19.6103,33.9293,67.8056,1.6299,1.7,53.1881,56.0,77.785
20160103140000,0.0,15.0,15.0,19.7596,33.9293,67.8056,1.6299,1.7,53.1881,56.0,77.785
