PropertyTimestampInNumber,CoolOutputPercent,MixedAirTemp,OutdoorAirDamperMinPositionActive,OutdoorAirEnthalpyReference,SupplyAirPress,SupplyAirPressSetpoint,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160102130000,20.685,61.919,15.0,17.135,1.4291,1.5,55.7264,56.0,68.225
20160102131500,27.0,62.5491,15.0,17.2405,1.4171,1.5,56.5005,56.0,68.225
20160102133000,24.18,62.5491,15.0,17.3988,1.4332,1.5,55.1863,56.0,68.225
20160102134500,31.27,62.5491,15.0,17.3109,1.4251,1.5,56.8245,56.0,68.225
20160102140000,24.06,62.5491,15.0,17.4155,1.4251,1.5,56.8245,56.0,68.225
20160102141500,29.445,62.5491,15.0,17.52,1.4091,1.5,56.8245,56.0,68.225
20160102143000,29.445,62.5491,15.0,17.729,1.4332,1.5,55.6364,56.0,68.225
20160102144500,38.215,62.5491,15.0,17.7813,1.4291,1.5,56.4464,56.0,68.225
20160102150000,38.215,62.5491,15.0,17.689,1.4372,1.5,56.4464,56.0,68.225
20160102151500,35.78,62.5491,15.0,17.6992,1.4332,1.5,57.1125,56.0,68.225
20160102153000,22.22,62.5491,15.0,17.8735,1.4171,1.5,55.3483,56.0,68.225
20160102154500,42.915,61.919,15.0,18.0581,1.4291,1.5,56.8245,56.0,68.225
20160102160000,29.64,61.919,15.0,18.4615,1.4171,1.5,56.8245,56.0,68.225
20160102161500,24.52,61.919,15.0,18.4272,1.4372,1.5,54.8983,56.0,68.225
20160102163000,37.6,61.919,15.0,18.2195,1.4211,1.5,57.4365,56.0,68.225
20160102164500,28.275,61.919,15.0,18.0741,1.4291,1.5,54.8623,56.0,68.225
20160102170000,38.605,61.919,15.0,18.1149,1.4091,1.5,54.8623,56.0,68.225
20160102171500,43.635,61.919,15.0,18.0765,1.4251,1.5,57.6346,56.0,68.225
20160102173000,45.54,61.919,15.0,18.1171,1.4211,1.5,56.7345,56.0,68.225
20160102174500,45.54,61.919,15.0,18.0738,1.4211,1.5,56.7345,56.0,68.225
20160102180000,46.155,61.919,15.0,17.9496,1.4211,1.5,57.8686,56.0,68.225
20160102181500,45.42,61.919,15.0,17.9496,1.4532,1.5,55.2763,56.0,69.165
20160102183000,42.995,61.919,15.0,18.3223,1.4332,1.5,55.2763,56.0,69.165
20160102184500,38.725,61.919,15.0,18.3223,1.4492,1.5,55.2763,56.0,69.165
20160102190000,22.26,61.919,15.0,18.2807,1.4532,1.5,56.2844,56.0,69.165
20160102191500,34.94,61.919,15.0,18.2807,1.4372,1.5,56.2844,56.0,69.165
20160102193000,42.78,61.919,15.0,18.2807,1.4492,1.5,56.9505,56.0,69.165
20160102194500,24.925,61.919,15.0,18.3418,1.4532,1.5,56.9505,56.0,69.165
20160102200000,19.88,61.919,15.0,18.2953,1.4412,1.5,55.8524,56.0,69.165
20160102201500,18.945,61.919,15.0,18.4156,1.4492,1.5,55.8524,56.0,69.165
20160102203000,24.785,61.919,15.0,18.2953,1.4532,1.5,54.5023,56.0,69.165
20160102204500,43.465,61.919,15.0,18.2109,1.4372,1.5,55.6904,56.0,69.165
20160102210000,24.125,61.919,15.0,18.1266,1.4452,1.5,56.6085,56.0,69.165
20160102211500,32.645,61.919,15.0,18.1266,1.4452,1.5,56.6085,56.0,69.165
20160102213000,38.405,61.919,15.0,18.1595,1.4492,1.5,55.5644,56.0,69.165
20160102214500,21.765,61.919,15.0,18.1595,1.4452,1.5,54.6643,56.0,69.165
20160102220000,35.435,61.919,15.0,17.9248,1.4532,1.5,54.6643,56.0,69.165
20160102221500,36.01,61.919,15.0,18.0082,1.4532,1.5,54.6643,56.0,69.165
20160102223000,36.01,61.919,15.0,18.0916,1.4372,1.5,57.2745,56.0,69.165
20160102224500,21.185,61.919,15.0,17.9248,1.4532,1.5,55.3123,56.0,69.165
20160102230000,35.6,61.919,15.0,18.2195,1.4653,1.5,55.3123,56.0,69.165
20160102231500,43.255,61.919,15.0,18.1321,1.4332,1.5,57.7606,56.0,69.165
20160102233000,22.75,61.919,15.0,18.1893,1.4532,1.5,56.6625,56.0,69.165
20160102234500,37.225,61.919,15.0,18.1893,1.4332,1.5,55.1503,56.0,69.165
20160103000000,44.645,61.919,15.0,18.2195,1.4452,1.5,57.5086,56.0,69.165
20160103001500,23.745,61.919,15.0,18.1321,1.4693,1.5,55.1863,56.0,69.165
20160103003000,39.405,61.919,15.0,17.9574,1.4332,1.5,55.7984,56.0,69.165
20160103004500,24.98,61.919,15.0,17.845,1.4492,1.5,56.8245,56.0,69.165
20160103010000,22.59,61.919,15.0,17.845,1.4653,1.5,54.7903,56.0,69.165
20160103011500,26.095,61.919,15.0,17.845,1.4452,1.5,55.5644,56.0,69.165
20160103013000,24.045,61.919,15.0,17.9314,1.4613,1.5,55.5644,56.0,69.165
20160103014500,24.045,61.919,15.0,17.818,1.4332,1.5,55.5644,56.0,69.165
20160103020000,24.045,61.919,15.0,17.6202,1.4532,1.5,56.1764,56.0,69.165
20160103021500,24.045,61.919,15.0,17.7326,1.4532,1.5,56.1764,56.0,69.165
20160103023000,24.045,61.919,15.0,17.6202,1.4452,1.5,56.1764,56.0,69.165
20160103024500,24.045,61.919,15.0,17.7326,1.4572,1.5,56.1764,56.0,69.165
20160103030000,24.045,61.919,15.0,17.5912,1.4492,1.5,56.1764,56.0,69.165
20160103031500,24.045,61.919,15.0,17.7326,1.4613,1.5,56.1764,56.0,69.165
20160103033000,27.195,61.919,15.0,17.7326,1.4532,1.5,56.1764,56.0,69.165
20160103034500,24.49,61.919,15.0,17.7326,1.4452,1.5,56.1764,56.0,69.165
20160103040000,24.49,61.919,15.0,17.7326,1.4532,1.5,56.1764,56.0,69.165
20160103041500,24.49,61.2889,15.0,17.6202,1.4532,1.5,56.1764,56.0,69.165
20160103043000,27.73,61.2889,15.0,17.5345,1.4452,1.5,56.1764,56.0,69.165
20160103044500,30.6,61.2889,15.0,17.6174,1.4613,1.5,55.2403,56.0,69.165
20160103050000,37.5,61.2889,15.0,17.585,1.4572,1.5,57.4725,56.0,69.165
20160103051500,23.365,61.2889,15.0,17.4696,1.4452,1.5,57.4725,56.0,69.165
20160103053000,46.06,61.2889,15.0,17.5506,1.4613,1.5,57.4725,56.0,69.165
20160103054500,20.015,61.2889,15.0,17.4342,1.4532,1.5,56.3384,56.0,69.165
20160103060000,20.235,61.2889,15.0,17.585,1.4412,1.5,54.8263,56.0,69.165
20160103061500,43.325,61.2889,15.0,17.5506,1.4613,1.5,55.7984,56.0,69.165
20160103063000,30.55,61.2889,15.0,17.5506,1.4532,1.5,56.8245,56.0,69.165
20160103064500,24.05,61.2889,15.0,17.6315,1.4613,1.5,54.5023,56.0,69.165
20160103070000,34.435,61.2889,15.0,17.6315,1.4572,1.5,54.5023,56.0,69.165
20160103071500,38.46,61.2889,15.0,17.5941,1.4773,1.5,55.3123,56.0,69.165
20160103073000,31.74,61.2889,15.0,17.4951,1.4974,1.5,54.4482,56.0,69.165
20160103074500,25.265,61.2889,15.0,17.5548,1.5496,1.5,53.8722,56.0,69.165
20160103080000,20.635,61.2889,15.0,17.6741,1.5777,1.5,56.9505,56.0,69.165
