AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp
48.4444,36,100.0,100,59.6
48.4444,36,97.2,100,61.0
47.3333,36,97.2,100,60.5
48.0,36,102.8,100,59.7
48.6667,36,98.6,100,59.7
47.7778,36,98.6,100,59.5
48.6667,36,97.2,100,59.6
48.6667,36,97.2,100,59.6
48.6667,36,95.9,100,59.5
48.6667,36,100.5,100,59.6
48.0,36,110.2,100,59.3
48.0,36,111.7,100,59.2
48.0,36,110.1,100,59.2
48.6667,36,110.1,100,59.2
48.6667,36,110.1,100,59.2
48.6667,36,110.1,100,59.2
48.6667,36,108.4,100,59.3
48.6667,36,108.4,100,59.3
48.6667,36,108.4,100,59.3
48.0,36,108.4,100,59.6
48.6667,36,108.4,100,59.6
48.6667,36,108.4,100,59.7
48.6667,36,105.0,100,60.1
48.6667,36,109.2,100,60.1
48.0,36,110.9,100,60.1
48.0,36,110.9,100,60.2
48.6667,36,109.7,100,60.2
48.6667,36,109.7,100,60.5
47.1111,36,110.9,100,60.6
48.4444,36,107.9,100,60.6
48.4444,36,97.8,100,61.0
48.4444,36,110.9,100,60.7
48.4444,36,110.9,100,60.9
47.1111,36,100.2,100,61.0
48.0,36,96.6,100,61.0
48.0,36,99.5,100,61.0
47.3333,36,103.2,100,61.1
48.0,36,106.2,100,61.1
48.0,36,110.3,100,61.1
48.0,36,103.9,100,61.1
48.0,36,97.5,100,61.1
47.3333,36,111.5,100,61.1
48.4444,36,110.0,100,61.1
47.3333,36,99.9,100,61.1
47.3333,36,97.2,100,61.0
48.0,36,97.2,100,61.0
48.0,36,104.4,100,61.0
48.0,36,110.9,100,61.0
48.0,36,110.9,100,61.1
47.1111,36,109.7,100,61.1
47.1111,36,110.9,100,61.1
47.1111,36,110.9,100,61.3
47.1111,36,97.1,100,61.0
48.0,36,104.6,100,60.6
48.0,36,98.5,100,60.6
48.0,36,98.5,100,60.6
48.0,36,110.8,100,60.6
47.3333,36,110.8,100,60.6
47.3333,36,109.4,100,60.5
47.3333,36,103.6,100,60.5
47.3333,36,99.2,100,60.5
47.3333,36,97.2,100,60.4
