AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp,SpaceTempHeatingSetpointActive
99.1667,51,51.4,72.0,64.8
99.1667,51,51.4,72.0,64.8
99.1667,51,51.4,72.0,64.8
97.5,51,51.4,71.9,64.8
97.5,51,51.4,71.9,64.8
99.1667,51,51.4,71.9,64.8
99.1667,51,51.4,71.9,64.8
99.1667,51,51.4,71.9,64.8
99.1667,51,51.4,71.9,64.8
99.1667,51,51.4,71.9,64.8
99.1667,51,51.4,71.9,64.8
97.5,51,51.4,71.9,64.8
99.1667,51,51.4,71.9,64.8
99.1667,51,51.4,71.9,64.8
99.1667,51,51.4,71.9,64.8
99.1667,51,51.4,71.8,64.8
99.1667,51,51.4,71.8,64.8
99.1667,51,51.4,71.8,64.8
99.1667,51,51.4,71.9,64.8
99.1667,51,51.4,71.8,64.8
99.1667,51,51.4,71.8,64.8
97.5,17,51.4,71.9,64.9
101.0,53,50.3,71.9,64.9
101.0,53,50.3,71.9,64.9
101.0,53,50.3,71.9,64.9
102.8333,53,50.3,71.8,64.9
101.0,53,50.3,71.8,64.9
101.0,53,50.3,71.8,64.9
101.0,53,50.3,71.7,64.9
102.8333,53,50.3,71.7,64.9
102.8333,53,50.3,71.7,64.9
102.8333,53,50.3,71.7,64.9
101.0,53,50.3,71.6,64.9
101.0,53,50.3,71.6,64.9
102.8333,53,50.3,71.6,64.9
101.0,53,50.3,71.6,64.9
101.0,53,51.0,71.6,64.9
101.0,53,51.0,71.6,64.9
102.8333,53,50.3,71.6,64.9
101.0,53,50.3,71.5,64.9
101.0,53,50.3,71.6,64.9
99.1667,53,50.3,71.5,64.9
101.0,53,51.0,71.5,64.9
101.0,53,51.0,71.5,64.9
101.0,53,51.0,71.5,64.9
99.1667,53,50.3,71.5,64.9
101.0,53,51.0,71.6,64.9
101.0,53,50.3,71.5,64.9
101.0,53,51.0,71.5,64.9
101.0,53,51.0,71.6,64.9
101.0,53,51.0,71.5,64.9
101.0,53,51.0,71.5,64.9
99.1667,53,51.0,71.5,64.9
101.0,53,51.0,71.5,64.9
101.0,53,51.0,71.5,64.9
101.0,53,51.0,71.5,64.9
101.0,53,51.0,71.5,64.9
99.1667,53,51.0,71.5,64.9
102.8333,53,51.0,71.6,64.9
101.0,53,51.0,71.5,64.9
101.0,53,51.0,71.6,64.9
101.0,53,51.0,71.6,64.9
101.0,53,51.0,71.6,64.9
101.0,53,51.0,71.6,64.9
101.0,53,51.0,71.6,64.9
101.0,53,51.0,71.6,64.9
101.0,53,51.8,71.7,64.9
101.0,53,51.1,71.7,64.9
101.0,53,51.8,71.7,64.9
101.0,53,51.8,71.7,64.9
101.0,53,51.8,71.7,64.9
101.0,53,51.8,71.7,64.9
101.0,53,51.8,71.7,64.9
101.0,53,51.8,71.8,64.9
101.0,53,51.1,71.8,64.9
101.0,53,52.2,71.8,64.9
101.0,53,52.2,71.8,64.9
101.0,53,52.2,71.9,64.9
