OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
15.7132,33.5021,67.8056,1.6379,51.3519,56.0,77.785
15.5909,33.5021,67.8056,1.6419,50.6139,56.0,77.785
15.5905,33.5021,67.8056,1.6379,50.6139,56.0,77.785
15.5905,33.5021,67.8056,1.6339,50.6139,56.0,77.785
15.4673,33.5021,67.8056,1.6419,50.6139,56.0,77.785
15.527,33.5021,67.8056,1.6379,51.4059,56.0,77.785
15.4028,33.5021,67.8056,1.6419,51.4059,56.0,77.785
15.344,33.5021,67.8056,1.6419,51.4059,56.0,77.785
15.2208,33.5021,67.8056,1.6379,51.4059,56.0,77.785
15.2208,33.5021,67.8056,1.6379,51.4059,56.0,77.785
15.1543,33.5021,67.8056,1.6499,50.8479,56.0,77.785
15.2785,33.5021,67.8056,1.6419,50.8479,56.0,77.785
15.2785,33.5021,67.8056,1.6419,50.8479,56.0,77.785
15.4028,33.5021,67.8056,1.6419,50.8479,56.0,77.785
15.6512,33.1053,67.8056,1.6379,50.8479,56.0,77.785
15.7133,33.1053,67.8056,1.6499,51.73,56.0,77.785
15.6512,33.5021,67.8056,1.6339,50.6859,56.0,77.785
15.5867,33.5021,67.8056,1.6379,51.3519,56.0,77.785
15.4615,33.5021,67.8056,1.6419,50.6859,56.0,77.785
15.3363,33.5021,67.8056,1.6379,50.6859,56.0,77.785
15.2678,33.5021,67.8056,1.6419,51.2799,56.0,77.785
15.4615,33.5021,67.8056,1.6419,51.2799,56.0,77.785
15.8376,33.5021,67.8056,1.6379,50.7399,56.0,77.785
15.8986,33.5021,67.8056,1.6098,50.7399,56.0,79.395
15.9577,33.5021,67.8056,1.6138,50.7399,56.0,79.395
15.9577,33.5021,67.8056,1.6299,52.486,56.0,80.475
15.9577,33.5021,67.8056,1.6299,51.2259,56.0,81.31
15.8354,33.5021,67.8056,1.6499,51.2259,56.0,81.31
15.9577,33.9293,67.8056,1.6339,51.2259,56.0,81.31
15.9577,33.9293,67.8056,1.6178,51.982,56.0,81.31
16.08,33.9293,67.8056,1.6259,51.982,56.0,81.31
16.2068,33.9293,67.8056,1.6178,52.6841,56.0,81.31
16.3856,33.9293,67.8056,1.6098,52.6841,56.0,81.31
16.6302,33.9293,67.8056,1.6098,53.3861,56.0,81.31
16.7917,33.9293,67.8056,1.6419,52.018,56.0,81.31
16.8842,33.9293,67.8056,1.6459,52.9001,56.0,81.31
17.2208,33.9293,67.8056,1.6861,52.9001,56.0,81.31
17.1599,33.9293,67.8056,1.662,52.9001,56.0,81.31
17.3687,33.9293,67.8056,1.6419,52.9001,56.0,81.31
17.2576,33.9293,67.8056,1.6259,52.9001,56.0,81.31
17.2576,33.9293,67.8056,1.6299,53.8362,56.0,81.31
17.3671,33.9293,67.8056,1.6299,53.8362,56.0,81.31
17.5745,33.9293,67.8056,1.6379,53.8362,56.0,81.31
17.7708,33.9293,67.8056,1.6218,53.8362,56.0,81.31
18.0723,33.4105,67.8056,1.6259,54.5023,56.0,81.31
18.3918,33.4105,67.8056,1.6459,54.5023,56.0,81.31
18.4655,33.4105,67.8056,1.6499,54.5023,56.0,81.31
18.5196,33.4105,67.8056,1.6459,54.5023,56.0,81.31
18.8755,33.4105,67.8056,1.6419,54.5023,56.0,81.31
19.0716,33.4105,67.8056,1.6419,54.5023,56.0,81.31
19.434,33.0138,67.8056,1.6419,54.5023,56.0,81.31
19.5242,33.0138,67.8056,1.6339,55.5104,56.0,82.565
19.3316,33.0138,67.8056,1.6098,55.5104,56.0,82.565
19.6601,33.0138,67.8056,1.6379,55.5104,56.0,82.565
19.9884,33.0138,67.8056,1.6821,55.5104,56.0,82.565
20.1856,33.0138,68.4897,1.654,55.5104,56.0,82.565
19.8453,33.0138,68.4897,1.6861,55.5104,56.0,82.565
19.7244,33.0138,68.4897,1.7102,55.5104,56.0,82.565
20.0637,32.556,68.4897,1.7342,55.5104,56.0,82.565
20.1614,32.556,68.4897,1.7664,55.5104,56.0,82.565
20.2102,32.556,68.4897,1.7824,55.5104,56.0,82.565
19.9635,32.556,68.4897,1.7904,55.5104,56.0,82.565
19.8402,32.556,68.4897,1.7945,55.5104,56.0,82.565
19.8402,32.556,68.4897,1.7744,54.8623,56.0,82.565
19.7168,32.2203,68.4897,1.7784,55.5104,56.0,82.565
19.6982,32.2203,68.4897,1.7704,54.7903,56.0,81.65
19.7244,32.2203,68.4897,1.7784,54.7903,56.0,81.65
19.8453,32.2203,68.4897,1.7704,53.9982,56.0,81.65
19.7221,32.2203,68.4897,1.7784,53.2241,56.0,81.65
19.7221,32.2203,68.4897,1.7784,53.8362,56.0,81.65
19.8898,32.2203,68.4897,1.7583,52.9721,56.0,80.495
19.8405,32.2203,68.4897,1.7383,52.9721,56.0,80.495
19.4461,32.2203,68.4897,1.7463,52.9721,56.0,80.495
19.4112,32.2203,68.4897,1.7744,52.9721,56.0,80.495
18.8545,32.2203,68.4897,1.7784,52.9721,56.0,80.495
18.6145,32.2203,68.4897,1.7704,52.396,56.0,80.495
18.1664,31.8846,68.4897,1.7824,52.396,56.0,80.495
18.063,31.8846,68.4897,1.7784,52.396,56.0,80.495
17.8018,31.8846,68.4897,1.7824,52.396,56.0,80.495
17.7925,31.8846,68.4897,1.7784,52.396,56.0,80.495
17.7153,31.8846,68.4897,1.7864,52.396,56.0,80.495
17.5043,31.8846,68.4897,1.7623,52.396,56.0,80.495
17.4132,31.8846,68.4897,1.7623,51.766,56.0,80.495
17.4132,31.8846,68.4897,1.7623,51.2259,56.0,80.495
17.4996,31.5489,68.4897,1.7543,52.18,56.0,80.495
17.4996,31.5489,68.4897,1.7583,51.4059,56.0,80.495
17.1742,31.5489,68.4897,1.7583,52.234,56.0,80.495
17.2576,31.5489,68.4897,1.7623,51.478,56.0,80.495
17.0908,31.5489,68.4897,1.7583,51.478,56.0,80.495
17.0295,31.5489,68.4897,1.7583,51.478,56.0,80.495
16.8713,31.5489,68.4897,1.7623,51.478,56.0,80.495
16.7658,31.1217,68.4897,1.7664,51.478,56.0,80.495
16.6603,31.1217,68.4897,1.7664,51.478,56.0,80.495
16.5548,31.1217,68.4897,1.7664,51.478,56.0,80.495
16.3965,31.1217,68.4897,1.7623,50.3978,56.0,80.495
16.291,30.7555,68.4897,1.7623,51.532,56.0,80.495
15.9745,30.7555,68.4897,1.7664,50.7399,56.0,80.495
15.9958,30.7555,68.4897,1.7623,51.3159,56.0,80.495
15.7828,30.7555,68.4897,1.7623,50.6499,56.0,80.495
15.6763,30.3893,68.4897,1.7704,50.6499,56.0,80.495
15.5862,30.3893,68.4897,1.7623,51.3159,56.0,80.495
15.3712,30.3893,68.4897,1.7664,50.4879,56.0,80.495
15.1677,30.3893,68.4897,1.7623,50.4879,56.0,80.495
15.1677,30.3893,68.4897,1.7704,50.4879,56.0,80.495
14.9508,30.3893,68.4897,1.7623,50.4879,56.0,80.495
14.8423,30.3893,68.4897,1.7623,51.0639,56.0,80.495
14.7404,30.3893,68.4897,1.7704,50.3618,56.0,80.495
14.6309,30.3893,67.6976,1.7664,50.3618,56.0,80.495
14.4698,29.9315,67.6976,1.7664,51.0279,56.0,80.495
14.3594,29.9315,67.6976,1.7704,50.1098,56.0,80.495
14.1937,29.9315,67.6976,1.7704,50.1098,56.0,80.495
14.1376,29.9315,67.6976,1.7664,50.1098,56.0,80.495
