MixedAirTemp,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SupplyAirPress,SupplyAirTemp,SupplyFanSpeedOutput
63.9172,18.1149,24.3163,1.5295,54.8263,61.62
63.9172,18.0765,24.713,1.4211,54.8263,61.62
63.1971,18.1171,24.713,1.5817,54.8263,61.62
63.1971,18.0738,24.713,1.4131,54.8263,62.465
63.1971,17.9496,25.1403,1.5576,54.8263,61.25
63.1971,17.9496,25.1403,1.5656,54.8263,61.25
63.1971,18.3223,25.4454,1.5697,54.8263,61.25
63.1971,18.3223,25.4454,1.5697,54.8263,61.25
63.1971,18.2807,25.7201,1.5737,54.8263,61.25
63.1971,18.2807,25.7201,1.5737,54.8263,61.25
63.1971,18.2807,26.1778,1.5656,54.8263,61.25
63.1971,18.3418,26.1778,1.5737,54.8263,61.25
63.1971,18.2953,26.1778,1.5737,54.8263,61.25
63.1971,18.4156,26.1778,1.5737,54.8263,61.25
63.1971,18.2953,26.1778,1.5777,54.8263,61.25
63.1971,18.2109,26.483,1.5656,54.8263,61.25
63.1971,18.1266,26.483,1.5697,54.8263,61.25
63.1971,18.1266,26.483,1.5656,54.8263,61.25
63.1971,18.1595,26.483,1.5737,54.8263,61.25
63.1971,18.1595,26.483,1.5737,54.8263,61.25
63.1971,17.9248,26.483,1.5737,54.8263,61.25
63.1971,18.0082,26.483,1.5777,54.8263,61.25
63.1971,18.0916,26.483,1.5737,54.8263,61.25
63.1971,17.9248,26.483,1.5656,54.8263,61.25
63.1971,18.2195,26.483,1.5737,54.8263,61.25
63.1971,18.1321,26.483,1.5737,54.8263,61.25
63.1971,18.1893,26.483,1.5737,54.8263,61.25
63.1971,18.1893,26.483,1.5777,54.8263,61.25
63.1971,18.2195,26.483,1.5737,54.8263,61.25
63.1971,18.1321,26.483,1.5737,55.5104,61.25
63.1971,17.9574,26.483,1.5737,55.5104,61.25
63.1971,17.845,26.483,1.5777,55.5104,61.25
63.1971,17.845,26.1778,1.5817,55.5104,61.25
63.1971,17.845,26.1778,1.5737,55.5104,61.25
63.1971,17.9314,26.1778,1.5777,55.5104,61.25
63.1971,17.818,26.1778,1.5817,55.5104,61.25
63.1971,17.6202,25.8727,1.5737,55.5104,61.25
63.1971,17.7326,25.8727,1.5737,55.5104,61.25
64.1152,17.6202,25.8727,1.5777,55.5104,61.25
64.1152,17.7326,25.8727,1.5737,55.5104,61.25
64.1152,17.5912,25.8727,1.5737,55.5104,61.25
63.3771,17.7326,25.8727,1.5737,54.5743,61.25
63.3771,17.7326,25.8727,1.5737,55.4023,61.25
63.3771,17.7326,25.8727,1.5817,55.4023,61.25
63.3771,17.7326,25.8727,1.5777,54.5023,61.25
63.3771,17.6202,25.8727,1.5737,55.1503,61.25
63.3771,17.5345,25.8727,1.5777,55.1503,61.25
63.3771,17.6174,25.8727,1.5817,55.1503,61.25
63.3771,17.585,25.8727,1.5817,55.1503,61.25
63.3771,17.4696,25.8727,1.5777,55.1503,61.25
63.3771,17.5506,25.8727,1.5737,55.1503,61.25
63.3771,17.4342,25.8727,1.5897,55.1503,61.25
63.3771,17.585,25.8727,1.5857,55.1503,61.25
63.3771,17.5506,25.8727,1.5817,55.1503,61.25
63.3771,17.5506,25.8727,1.5656,55.1503,61.25
63.3771,17.6315,25.8727,1.5576,55.1503,61.25
63.3771,17.6315,25.8727,1.5576,55.1503,61.25
63.3771,17.5941,25.8727,1.5656,54.5383,61.25
63.3771,17.4951,25.8727,1.5616,54.5383,61.25
63.3771,17.5548,25.8727,1.5656,54.5383,61.25
63.3771,17.6741,25.8727,1.5656,55.1503,61.25
63.3771,17.5941,25.8727,1.5656,54.3762,61.25
63.3771,17.5941,25.8727,1.5616,55.2763,61.25
63.3771,17.6315,25.8727,1.5616,55.2763,61.25
63.3771,17.7124,26.2084,1.5656,55.2763,61.25
63.3771,18.1149,26.2084,1.5616,55.2763,61.25
64.4753,18.2449,26.2084,1.5656,55.2763,61.25
64.4753,18.4815,26.2084,1.5616,55.2763,61.25
64.4753,18.6232,26.2084,1.5576,55.2763,61.25
64.4753,18.8304,26.2084,1.5576,55.2763,61.25
64.4753,18.9117,26.5135,1.5134,55.8524,61.25
64.4753,18.9328,26.5135,1.5134,55.8524,61.25
64.4753,18.65,26.5135,1.5054,55.8524,61.25
65.7534,18.65,26.5135,1.5054,56.6985,61.25
65.7534,18.5842,26.5135,1.5014,55.4383,61.25
65.7534,18.445,26.2084,1.5054,55.4383,61.25
67.1215,18.4538,26.2084,1.5054,56.9505,61.25
67.1215,18.5593,25.9337,1.5014,56.9505,61.25
67.1215,18.7703,25.9337,1.5014,56.9505,61.25
67.1215,18.9286,25.9337,1.4974,56.2844,61.25
67.1215,19.0341,25.9337,1.5054,55.5104,61.25
67.1215,19.3502,25.9337,1.5054,56.5005,61.25
67.1215,19.5058,25.9337,1.4974,57.1125,61.25
67.1215,19.6103,25.9337,1.5054,56.4464,61.25
67.1215,19.7596,25.9337,1.5094,54.1242,61.25
67.1215,19.9761,25.659,1.5054,56.5365,61.25
68.2196,19.9666,25.659,1.4974,56.5365,61.25
68.2196,20.0806,25.659,1.5054,56.5365,61.25
68.2196,20.4464,25.659,1.5054,56.5365,61.25
68.2196,20.3654,25.659,1.5094,55.0243,61.25
68.2196,20.3481,25.659,1.5014,55.0243,61.25
67.1215,20.4496,25.659,1.5054,54.4482,61.25
67.1215,20.4496,25.659,1.4934,56.5005,61.25
67.1215,20.5512,25.659,1.4813,56.5005,61.25
67.1215,20.6527,25.659,1.4813,56.5005,61.25
67.1215,20.673,25.659,1.4773,56.5005,61.25
67.1215,20.4293,25.2623,1.4853,54.7903,61.25
66.3834,20.3654,25.2623,1.4733,56.1224,61.25
66.3834,20.1946,25.2623,1.4693,56.1224,61.25
65.0153,19.9891,25.2623,1.4653,55.4743,61.25
65.0153,19.7202,25.6285,1.4572,55.4743,61.25
65.0153,19.4465,25.6285,1.4613,55.4743,61.25
65.0153,18.9423,25.6285,1.4532,55.4743,61.25
65.0153,18.8319,25.6285,1.5737,55.4743,62.25
65.0153,18.6662,25.6285,1.5697,55.4743,61.45
65.0153,18.65,25.6285,1.5697,55.4743,61.45
65.0153,18.5195,25.6285,1.5817,55.4743,61.45
64.1152,18.4417,25.6285,1.5777,54.8623,61.45
64.1152,18.2149,25.6285,1.5857,54.8623,61.45
64.1152,18.2772,25.6285,1.5737,54.8623,61.45
63.3771,18.1041,25.6285,1.5777,54.8623,61.45
63.3771,17.9888,25.6285,1.5817,54.8623,61.45
62.5491,17.7004,25.3234,1.5817,54.8623,61.45
62.5491,17.5506,25.3234,1.5897,54.8623,61.45
63.1971,17.3179,25.3234,1.5937,54.8623,61.45
63.1971,17.1433,25.3234,1.5576,54.8623,61.45
63.1971,16.8688,25.3234,1.5576,54.8623,61.45
63.1971,16.8842,25.3234,1.5656,54.2862,61.45
62.189,16.5292,25.3234,1.5656,54.2862,61.45
62.189,16.6003,25.3234,1.5737,54.2862,61.45
62.189,16.481,25.3234,1.5737,54.2862,61.45
62.189,16.3021,25.3234,1.5656,54.2862,61.45
62.189,16.0098,24.9571,1.5737,54.2862,61.45
62.189,16.0098,24.9571,1.5777,54.2862,61.45
62.189,15.8935,24.9571,1.5817,54.2862,61.45
62.189,15.7722,24.9571,1.5777,54.2862,61.45
62.189,15.7132,24.9571,1.5817,54.2862,61.45
62.189,15.5909,24.9571,1.5817,54.2862,61.45
62.189,15.5905,24.9571,1.5335,54.2862,61.45
62.189,15.5905,24.9571,1.5335,54.2862,61.45
62.189,15.4673,24.9571,1.5335,54.2862,61.45
62.189,15.527,24.9571,1.5295,54.2862,61.45
62.189,15.4028,24.9571,1.5215,54.2862,61.45
62.189,15.344,24.9571,1.4131,54.2862,61.45
62.189,15.2208,24.652,1.5054,54.2862,61.45
62.189,15.2208,24.652,1.5175,54.2862,61.45
62.189,15.1543,24.652,1.5737,54.2862,61.45
62.189,15.2785,24.652,1.5817,54.2862,61.45
62.189,15.2785,24.652,1.4653,54.2862,61.45
62.189,15.4028,24.652,1.5255,54.2862,61.45
62.189,15.6512,24.652,1.5656,54.2862,61.45
62.189,15.7133,24.652,1.5897,54.2862,61.45
62.189,15.6512,24.652,1.5817,54.2862,61.45
62.189,15.5867,24.652,1.5415,54.2862,61.45
62.189,15.4615,24.652,1.4733,54.2862,61.45
62.189,15.3363,24.652,1.4372,54.2862,61.45
62.189,15.2678,24.652,1.5857,54.2862,61.45
62.189,15.4615,24.652,1.5415,54.2862,60.735
62.189,15.8376,24.652,1.5576,54.2862,60.735
62.189,15.8986,25.0792,1.5656,52.7201,60.735
62.189,15.9577,25.0792,1.5697,52.7201,60.735
62.189,15.9577,25.0792,1.5817,53.8362,60.735
62.189,15.9577,25.0792,1.5375,53.8362,60.735
62.189,15.8354,25.0792,1.4974,53.8362,60.735
62.189,15.9577,25.0792,1.4693,53.8362,60.735
