MixedAirTemp,OutdoorAirEnthalpyReference,SupplyAirPress,SupplyAirTemp,SupplyFanSpeedOutput
69.1377,18.1595,1.4532,60.5419,57.29
69.1377,18.1595,1.4693,60.5419,57.29
69.1377,17.9248,1.4613,60.5419,57.29
69.1377,18.0082,1.4613,60.5419,56.275
69.1377,18.0916,1.4613,60.5419,56.275
69.1377,17.9248,1.4693,60.5419,56.275
69.1377,18.2195,1.4693,60.5419,56.275
69.1377,18.1321,1.4653,60.5419,56.275
69.1377,18.1893,1.4693,60.5419,56.275
69.1377,18.1893,1.4693,60.5419,56.275
68.3096,18.2195,1.4532,60.5419,56.275
68.3096,18.1321,1.4492,60.5419,56.275
68.3096,17.9574,1.4532,60.5419,56.275
68.3096,17.845,1.4412,60.5419,56.275
68.3096,17.845,1.4572,60.5419,56.275
68.3096,17.845,1.4452,60.5419,56.275
68.3096,17.9314,1.4572,60.5419,56.275
68.3096,17.818,1.4452,60.5419,56.275
68.3096,17.6202,1.397,60.5419,56.275
68.3096,17.7326,1.4492,60.5419,56.275
68.3096,17.6202,1.4492,60.5419,56.275
68.3096,17.7326,1.4372,60.5419,56.275
68.3096,17.5912,1.4332,60.5419,56.275
68.3096,17.7326,1.4372,60.5419,56.275
68.3096,17.7326,1.4452,60.5419,56.275
68.3096,17.7326,1.4452,60.5419,56.275
68.3096,17.7326,1.4492,60.5419,56.275
68.3096,17.6202,1.4171,61.1539,56.275
68.3096,17.5345,1.4532,61.1539,56.275
68.3096,17.6174,1.4532,60.5059,56.275
68.3096,17.585,1.4452,60.5059,56.275
68.3096,17.4696,1.4492,60.5059,56.275
68.3096,17.5506,1.4532,60.5059,56.275
68.3096,17.4342,1.4653,60.5059,56.275
68.3096,17.585,1.4452,60.5059,56.275
68.3096,17.5506,1.4452,60.5059,56.275
68.3096,17.5506,1.4452,60.5059,56.275
68.3096,17.6315,1.4532,60.5059,56.275
68.3096,17.6315,1.4211,60.5059,56.275
69.4077,17.5941,1.4412,60.5059,56.275
69.4077,17.4951,1.4211,61.1539,56.275
69.4077,17.5548,1.4051,60.1998,56.275
69.4077,17.6741,1.4372,60.9379,56.275
69.4077,17.5941,1.4211,60.9379,56.275
69.4077,17.5941,1.377,60.9379,56.275
70.5959,17.6315,1.397,60.9379,56.275
70.5959,17.7124,1.397,60.9379,56.275
70.5959,18.1149,1.397,60.9379,56.275
70.5959,18.2449,1.385,60.9379,56.275
70.5959,18.4815,1.3368,60.9379,56.275
70.5959,18.6232,1.3087,60.9379,56.275
70.5959,18.8304,1.3248,60.9379,56.275
70.5959,18.9117,1.3448,60.9379,56.275
70.5959,18.9328,1.3368,60.9379,56.275
70.5959,18.65,1.389,60.9379,56.275
70.5959,18.65,1.3448,60.9379,56.275
70.5959,18.5842,1.3489,60.9379,56.275
71.514,18.445,1.4412,61.55,57.915
71.514,18.4538,1.385,61.55,57.915
71.514,18.5593,1.4532,61.55,57.915
72.432,18.7703,1.4653,61.55,57.915
72.432,18.9286,1.4813,61.55,57.915
72.432,19.0341,1.4492,61.55,57.915
72.432,19.3502,1.4532,61.55,57.915
72.432,19.5058,1.4372,61.55,57.915
72.432,19.6103,1.397,61.55,57.915
72.432,19.7596,1.389,61.55,57.915
71.694,19.9761,1.3729,61.55,57.915
71.694,19.9666,1.3087,61.55,58.99
71.694,20.0806,1.4251,61.55,58.99
71.694,20.4464,1.3729,61.55,58.99
71.694,20.3654,1.4051,61.55,58.99
71.694,20.3481,1.4372,61.55,58.99
71.694,20.4496,1.4332,61.55,58.99
71.694,20.4496,1.4532,61.55,58.99
71.694,20.5512,1.4653,61.55,58.99
71.694,20.6527,1.4372,61.55,58.99
70.5959,20.673,1.4492,61.55,58.99
70.5959,20.4293,1.4452,61.55,58.99
70.5959,20.3654,1.4291,61.55,58.99
70.5959,20.1946,1.4532,61.55,58.99
70.5959,19.9891,1.4171,61.55,58.99
70.5959,19.7202,1.393,61.55,58.99
70.5959,19.4465,1.4091,61.55,58.99
70.5959,18.9423,1.393,61.55,58.99
70.5959,18.8319,1.3529,61.55,58.99
70.5959,18.6662,1.4051,60.7399,58.99
70.5959,18.65,1.4131,60.7399,58.99
70.5959,18.5195,1.4412,60.7399,58.99
69.8578,18.4417,1.4412,60.7399,58.99
69.8578,18.2149,1.4693,60.7399,58.99
69.8578,18.2772,1.4813,60.7399,58.99
69.8578,18.1041,1.4934,60.7399,58.99
69.8578,17.9888,1.4813,60.7399,57.97
69.8578,17.7004,1.4733,61.496,57.97
69.8578,17.5506,1.4773,61.496,57.97
69.8578,17.3179,1.4733,61.496,57.97
69.8578,17.1433,1.4894,61.496,57.97
69.8578,16.8688,1.4853,61.496,57.97
69.1377,16.8842,1.4653,61.496,57.02
69.1377,16.5292,1.4813,61.496,57.02
69.1377,16.6003,1.4813,61.496,57.02
69.1377,16.481,1.4853,61.496,57.02
69.1377,16.3021,1.4773,61.496,57.02
69.1377,16.0098,1.4773,61.496,57.02
69.1377,16.0098,1.4813,61.496,57.02
69.1377,15.8935,1.4813,62.288,57.02
69.1377,15.7722,1.4653,62.288,57.02
69.1377,15.7132,1.4613,62.288,57.02
69.1377,15.5909,1.4653,62.288,57.02
69.1377,15.5905,1.4693,62.288,57.02
69.1377,15.5905,1.4693,62.288,57.02
69.1377,15.4673,1.4693,62.288,57.02
69.1377,15.527,1.4693,62.288,57.02
69.1377,15.4028,1.4653,62.288,57.02
69.1377,15.344,1.4613,62.288,57.02
69.1377,15.2208,1.4613,62.288,57.02
69.1377,15.2208,1.4653,61.658,57.02
69.1377,15.1543,1.4532,61.658,57.02
68.3996,15.2785,1.4532,62.288,57.02
68.3996,15.2785,1.4532,62.288,57.02
68.3996,15.4028,1.4532,62.288,57.02
68.3996,15.6512,1.4532,62.288,57.02
68.3996,15.7133,1.4532,62.288,57.02
68.3996,15.6512,1.4492,62.288,57.02
68.3996,15.5867,1.4492,62.288,57.02
68.3996,15.4615,1.4492,62.288,57.02
68.3996,15.3363,1.4291,62.288,57.02
68.3996,15.2678,1.4613,62.9361,57.02
68.3996,15.4615,1.4613,62.09,57.02
68.3996,15.8376,1.4613,62.7381,57.02
68.3996,15.8986,1.4532,62.7381,57.02
68.3996,15.9577,1.4613,62.7381,57.02
69.2277,15.9577,1.4653,62.7381,57.02
69.2277,15.9577,1.4653,62.7381,57.02
67.1215,15.8354,1.4532,62.7381,57.02
67.1215,15.9577,1.4492,62.7381,57.02
67.1215,15.9577,1.4693,62.7381,57.02
67.1215,16.08,1.4773,62.7381,57.02
67.1215,16.2068,1.4773,62.7381,57.02
67.1215,16.3856,1.4813,62.7381,57.02
67.1215,16.6302,1.4773,62.7381,57.02
67.1215,16.7917,1.4813,62.054,57.02
67.1215,16.8842,1.4813,63.0081,57.02
68.0396,17.2208,1.4773,63.0081,57.02
68.0396,17.1599,1.4733,63.0081,57.02
68.0396,17.3687,1.4853,63.0081,57.02
68.0396,17.2576,1.4693,62.09,57.02
68.0396,17.2576,1.4653,62.09,57.02
68.0396,17.3671,1.4653,62.09,57.02
68.0396,17.5745,1.4412,62.09,57.02
68.0396,17.7708,1.4211,62.09,57.02
68.7597,18.0723,1.3529,62.09,57.02
69.4978,18.3918,1.3569,62.09,57.02
69.4978,18.4655,1.2967,62.09,58.045
69.4978,18.5196,1.4131,62.09,58.045
69.4978,18.8755,1.401,62.09,58.66
69.4978,19.0716,1.4532,62.09,58.66
69.4978,19.434,1.4492,62.09,58.66
69.4978,19.5242,1.4613,62.09,58.66
69.4978,19.3316,1.4693,62.09,58.66
69.4978,19.6601,1.4572,62.09,58.66
69.4978,19.9884,1.4613,62.09,58.66
69.4978,20.1856,1.4532,62.9001,58.66
69.4978,19.8453,1.4532,62.9001,58.66
69.4978,19.7244,1.4492,62.9001,58.66
69.4978,20.0637,1.4332,62.9001,58.66
69.4978,20.1614,1.4332,62.9001,58.66
70.5959,20.2102,1.4332,62.9001,58.66
70.5959,19.9635,1.4452,62.9001,58.66
70.5959,19.8402,1.4773,62.9001,58.66
70.5959,19.8402,1.4693,62.9001,58.66
70.5959,19.7168,1.4773,62.9001,58.66
70.5959,19.6982,1.4894,62.9001,57.23
69.8578,19.7244,1.4613,62.9001,57.23
69.8578,19.8453,1.4733,62.9001,57.23
69.8578,19.7221,1.4773,62.09,57.23
69.8578,19.7221,1.4693,62.09,57.23
69.8578,19.8898,1.4091,62.09,57.23
70.6859,19.8405,1.381,62.09,57.23
70.6859,19.4461,1.385,62.09,57.23
70.6859,19.4112,1.389,62.09,57.23
69.9478,18.8545,1.4452,62.09,57.23
69.9478,18.6145,1.4492,62.09,57.23
69.9478,18.1664,1.4492,62.09,57.23
69.9478,18.063,1.4773,62.09,57.23
68.7597,17.8018,1.4894,62.09,57.23
68.7597,17.7925,1.4853,62.09,57.23
68.7597,17.7153,1.4853,62.09,57.23
68.7597,17.5043,1.4773,62.09,57.23
68.7597,17.4132,1.4291,62.09,55.53
68.7597,17.4132,1.4332,62.09,55.53
68.7597,17.4996,1.4251,62.09,55.53
68.0396,17.4996,1.4291,62.09,55.53
68.0396,17.1742,1.4251,62.7381,55.53
68.0396,17.2576,1.4131,62.7381,55.53
68.0396,17.0908,1.4211,62.7381,55.53
68.0396,17.0295,1.4211,62.7381,55.53
68.0396,16.8713,1.4131,62.7381,55.53
68.0396,16.7658,1.4171,62.054,55.53
68.0396,16.6603,1.4251,62.054,55.53
68.0396,16.5548,1.4051,62.054,55.53
68.0396,16.3965,1.4211,62.054,55.53
68.0396,16.291,1.4051,62.054,55.53
68.0396,15.9745,1.4131,62.054,55.53
68.0396,15.9958,1.3729,62.054,55.53
68.0396,15.7828,1.4171,62.054,55.53
68.0396,15.6763,1.4291,62.054,55.53
68.0396,15.5862,1.4211,62.054,55.53
67.3015,15.3712,1.4171,62.054,55.53
67.3015,15.1677,1.4251,62.054,55.53
67.3015,15.1677,1.4291,62.054,55.53
67.3015,14.9508,1.4211,62.9001,55.53
67.3015,14.8423,1.4372,62.9001,55.53
67.3015,14.7404,1.4452,62.9001,55.53
67.3015,14.6309,1.4532,62.9001,55.53
67.3015,14.4698,1.4452,62.9001,55.53
67.3015,14.3594,1.4492,62.9001,55.53
67.3015,14.1937,1.4532,62.9001,55.53
67.3015,14.1376,1.4773,62.9001,55.53
67.3015,13.9109,1.4572,62.9001,55.53
67.3015,13.7985,1.4733,62.9001,55.53
67.3015,13.5737,1.4853,62.9001,55.53
67.3015,13.4613,1.4813,62.9001,55.53
67.3015,13.4525,1.4894,62.9001,55.53
67.3015,13.2257,1.4813,62.9001,55.53
67.3015,13.1568,1.389,62.9001,55.53
67.3015,13.1568,1.3529,62.9001,55.53
67.3015,13.0282,1.381,62.9001,55.53
67.3015,12.9128,1.3489,62.9001,55.53
67.3015,12.7975,1.3408,62.9001,56.54
67.3015,12.8385,1.3288,62.9001,56.54
68.3996,12.7221,1.3529,62.9001,56.54
68.3996,12.6058,1.3529,62.9001,56.54
68.3996,12.6448,1.393,62.9001,56.54
68.3996,12.7621,1.3047,62.9001,56.54
69.2277,12.9968,1.3609,62.9001,56.54
69.2277,13.1141,1.393,62.9001,57.205
69.9478,13.2901,1.4051,62.9001,57.205
69.9478,13.5248,1.3689,62.9001,57.205
69.9478,13.7008,1.4171,62.9001,57.205
70.6859,13.9355,1.381,62.9001,57.205
70.6859,14.4092,1.397,62.9001,57.205
69.9478,14.6982,1.385,62.9001,57.205
68.5797,15.2262,1.3609,62.9001,57.205
68.5797,15.34,1.389,62.018,57.205
68.5797,15.689,1.401,62.018,57.205
68.5797,15.7969,1.3489,62.018,57.205
68.5797,16.4314,1.3448,62.018,57.205
68.5797,16.6452,1.3689,62.018,57.205
69.7678,17.0659,1.3087,62.018,57.205
69.7678,17.1599,1.3328,62.018,57.205
69.7678,17.789,1.393,62.018,57.205
68.6697,18.1321,1.3248,62.018,57.205
68.6697,18.2385,1.4372,62.018,58.39
69.8578,18.4633,1.3529,62.018,58.39
70.9559,18.7443,1.4372,62.018,58.39
70.9559,19.0253,1.4372,62.6481,58.39
70.9559,19.2628,1.4291,62.6481,58.39
71.694,19.5414,1.4412,62.6481,58.39
71.694,19.8296,1.4693,62.6481,58.39
71.694,19.8315,1.4813,62.6481,58.39
71.694,19.94,1.4733,62.6481,57.36
71.694,20.1579,1.4773,62.6481,57.36
71.694,20.0484,1.4894,62.6481,57.36
71.694,20.1026,1.4894,62.6481,55.915
71.694,20.2111,1.4733,62.6481,55.915
71.694,20.3221,1.4372,62.6481,55.915
71.694,20.4316,1.4051,62.6481,55.915
71.694,20.3221,1.4051,62.6481,55.915
70.9559,20.2675,1.385,62.6481,55.915
70.9559,20.0485,1.393,62.6481,55.915
70.9559,19.9362,1.389,61.892,55.915
70.9559,19.7705,1.3689,61.892,55.915
70.9559,19.5311,1.3489,61.892,55.915
70.9559,19.2501,1.3127,61.892,55.915
70.9559,19.1615,1.3368,63.0981,57.49
70.9559,19.027,1.3448,62.45,57.49
70.1458,18.714,1.3489,62.45,57.49
70.1458,18.5977,1.3368,62.45,57.49
70.1458,18.3068,1.3689,62.45,57.49
70.1458,18.2768,1.385,62.45,57.49
70.1458,18.2449,1.389,62.45,57.49
70.1458,18.1266,1.401,61.1899,57.49
70.1458,18.0082,1.4131,61.1899,57.49
70.1458,18.032,1.4051,61.1899,57.49
70.1458,17.9127,1.4091,62.4861,57.49
70.1458,17.7934,1.4251,62.4861,57.49
69.3177,17.5548,1.4372,62.4861,57.49
69.3177,17.6337,1.4332,62.4861,57.49
69.3177,17.7127,1.4492,62.4861,57.49
69.3177,17.7127,1.4613,62.4861,57.49
