MixedAirTemp,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirTemp,SupplyFanSpeedOutput
58.2826,15.9342,29.8399,77.4005,1.2846,56.9505,65.855
58.2826,16.0038,30.5113,77.4005,1.1281,55.6904,70.18
58.2826,16.0038,30.5113,77.4005,1.1401,56.9865,70.18
58.9127,15.8904,30.5113,77.4005,1.1762,57.7066,70.18
58.9127,15.8904,30.5113,77.4005,1.2927,56.9865,70.18
58.9127,15.8904,30.5113,77.4005,1.2846,55.1503,67.96
58.9127,15.9342,30.8165,77.4005,1.2605,59.0747,67.96
58.9127,15.8218,30.8165,77.4005,1.2967,56.6625,65.905
59.6508,15.6417,30.8165,77.4005,1.2726,55.3123,65.905
59.6508,15.7532,30.8165,77.4005,1.2686,59.3987,64.58
59.6508,15.8646,30.8165,77.4005,1.2766,55.0243,64.58
59.6508,16.0317,30.8165,77.4005,1.2003,55.7984,64.58
60.4608,16.1431,30.8165,77.4005,1.1963,59.5608,64.58
60.4608,16.2919,30.4198,77.4005,1.1963,55.0243,64.58
60.4608,16.1439,30.4198,77.4005,1.2084,55.0243,64.58
60.4608,16.2726,30.4198,77.4005,1.2124,58.8047,64.58
60.4608,16.3821,30.4198,77.4005,1.2124,57.8326,64.58
60.4608,16.6009,29.962,77.4005,1.2084,54.9523,64.58
60.4608,16.7946,29.962,77.4005,1.2485,54.9523,64.58
60.4608,16.7946,29.962,77.4005,1.2244,58.8767,64.58
61.0909,16.7147,29.962,77.4005,1.2164,58.8767,64.58
61.0909,16.8477,29.6263,77.4005,1.2043,56.1764,64.58
61.0909,16.9542,29.6263,77.4005,1.2043,54.7003,64.58
61.0909,17.0295,29.2906,77.4005,1.2084,54.7003,64.58
61.0909,17.135,29.2906,77.4005,1.2204,54.7003,64.58
61.919,17.135,29.2906,77.4005,1.2204,59.2007,64.58
61.919,17.2405,29.2906,77.4005,1.2244,59.8848,64.58
61.919,17.3988,24.3773,77.4005,1.2405,58.1206,64.58
61.919,17.3109,20.2575,77.4005,1.2605,58.1206,64.58
61.919,17.4155,20.2575,77.4005,1.2445,57.0585,64.58
61.919,17.52,20.2575,77.4005,1.2686,55.0243,64.58
61.919,17.729,21.3866,75.9244,1.2485,55.0243,64.58
61.919,17.7813,21.3866,75.9244,1.2405,55.0243,64.58
61.919,17.689,24.4078,76.8785,1.2445,56.4464,64.58
61.919,17.6992,23.7364,76.8785,1.2445,59.5608,64.58
61.919,17.8735,22.943,76.8785,1.2445,59.5608,64.58
61.1989,18.0581,26.6661,76.8785,1.2164,59.5608,64.58
61.1989,18.4615,22.5768,77.7246,1.2324,56.9865,64.58
61.1989,18.4272,22.5768,77.7246,1.2365,54.7363,64.58
61.1989,18.2195,22.5768,77.7246,1.2445,54.7363,64.58
61.1989,18.0741,23.1261,77.7246,1.2485,59.0747,64.58
60.3708,18.1149,24.8351,77.7246,1.2365,59.0747,64.58
60.3708,18.0765,23.6754,77.7246,1.2244,56.8245,64.58
60.3708,18.1171,24.774,76.2484,1.2284,54.5383,64.58
60.3708,18.0738,26.0253,76.2484,1.2284,55.4023,64.58
60.3708,17.9496,26.0253,76.2484,1.2164,59.7228,64.58
60.3708,17.9496,26.5441,76.2484,1.2124,58.5167,64.58
60.3708,18.3223,29.4432,76.2484,1.2164,55.8524,64.58
60.3708,18.3223,29.4432,76.2484,1.2324,54.5023,64.58
60.3708,18.2807,29.7484,76.2484,1.2565,58.1926,64.58
60.3708,18.2807,29.7484,76.2484,1.2525,59.8848,64.58
60.3708,18.2807,29.7484,76.2484,1.2565,57.5446,64.58
60.3708,18.3418,29.7484,76.2484,1.2646,55.3483,64.58
60.3708,18.2953,29.7484,76.2484,1.2726,54.4482,64.58
60.3708,18.4156,29.7484,77.0765,1.2284,56.8245,64.58
60.3708,18.2953,29.7484,77.0765,1.2164,59.6868,64.58
60.3708,18.2109,29.7484,77.0765,1.2204,58.1926,64.58
60.3708,18.1266,29.7484,77.0765,1.2324,55.0603,64.58
60.3708,18.1266,29.7484,77.0765,1.2324,54.3762,64.58
60.3708,18.1595,29.7484,77.0765,1.2244,59.0387,64.58
60.3708,18.1595,29.7484,77.0765,1.2244,59.7228,64.58
60.3708,17.9248,29.7484,77.0765,1.2244,57.3465,64.58
60.3708,18.0082,29.7484,77.0765,1.2324,54.8983,64.58
60.3708,18.0916,29.7484,77.0765,1.2164,54.8983,64.58
60.3708,17.9248,23.9196,77.0765,1.0959,58.4807,65.62
60.3708,18.2195,23.3092,78.3186,1.108,59.0747,65.62
60.3708,18.1321,25.598,75.8344,1.108,59.0747,66.285
60.3708,18.1893,24.8656,75.8344,1.12,56.9865,66.285
60.3708,18.1893,24.1332,76.8785,1.12,55.3123,66.285
60.3708,18.2195,23.4923,76.8785,1.108,56.9505,66.285
60.3708,18.1321,23.1261,77.8866,1.112,59.2367,66.285
60.3708,17.9574,23.1261,77.8866,1.0959,57.9586,66.285
60.3708,17.845,23.1261,77.8866,1.1281,56.9865,67.11
60.3708,17.845,22.882,77.8866,1.1401,55.0243,67.11
60.3708,17.845,22.882,77.8866,1.1481,57.3105,67.11
60.3708,17.9314,22.6378,77.8866,1.1481,58.0666,67.11
60.3708,17.818,22.6378,77.8866,1.1481,54.8623,67.11
60.3708,17.6202,22.6378,77.8866,1.1802,56.8245,67.11
60.3708,17.7326,22.6378,77.8866,1.2204,59.6508,67.11
60.3708,17.6202,28.0394,77.8866,1.2324,58.3906,67.11
60.3708,17.7326,28.6193,77.8866,1.2565,55.6904,67.11
60.3708,17.5912,28.9244,77.8866,1.2686,54.5023,67.11
60.3708,17.7326,28.9244,77.8866,1.2485,55.4023,67.11
60.3708,17.7326,28.9244,77.0765,1.2365,59.3627,67.11
60.3708,17.7326,29.2601,77.0765,1.2485,58.3546,67.11
59.6508,17.7326,29.2601,77.0765,1.2405,55.3123,67.11
59.6508,17.6202,29.2601,77.0765,1.2886,54.5383,65.765
59.6508,17.5345,29.2601,77.0765,1.2806,59.3987,65.765
59.6508,17.6174,29.2601,77.0765,1.2927,58.4446,65.765
59.6508,17.585,29.2601,77.0765,1.2124,55.0243,65.765
59.6508,17.4696,29.2601,77.0765,1.2766,57.3105,65.765
59.0027,17.5506,29.2601,77.0765,1.2766,58.6067,65.765
59.0027,17.4342,29.2601,77.0765,1.2686,54.5383,65.765
59.0027,17.585,29.2601,77.0765,1.2726,59.0027,65.765
59.0027,17.5506,29.2601,77.0765,1.2485,57.7606,65.765
59.0027,17.5506,29.2601,77.0765,1.2324,54.2862,65.765
59.0027,17.6315,29.2601,77.0765,1.2485,57.3105,65.765
59.0027,17.6315,29.2601,77.0765,1.2003,58.4807,65.765
59.0027,17.5941,29.2601,77.0765,1.2204,54.8623,65.765
59.0027,17.4951,29.2601,77.0765,1.0719,55.6364,69.54
59.0027,17.5548,29.2601,77.0765,1.12,59.4527,69.54
59.0027,17.6741,29.2601,77.0765,1.124,56.7345,69.54
59.6508,17.5941,29.2601,77.0765,1.1481,56.7345,69.54
60.3708,17.5941,29.2601,77.0765,1.1562,58.7687,69.54
60.3708,17.6315,29.2601,77.0765,1.1441,57.0225,69.54
60.3708,17.7124,29.2601,77.0765,1.1481,55.1863,69.54
61.0909,18.1149,29.2601,77.0765,1.1401,57.2205,69.54
61.0909,18.2449,29.2601,77.0765,1.1401,55.2403,69.54
61.0909,18.4815,29.2601,77.0765,1.1521,58.1206,69.54
61.0909,18.6232,29.2601,77.0765,1.1481,58.1206,69.54
61.919,18.8304,29.2601,77.0765,1.1441,55.6904,69.54
61.919,18.9117,29.2601,77.0765,1.1441,55.6904,69.54
61.919,18.9328,29.2601,77.0765,1.1521,58.9307,69.54
61.919,18.65,29.2601,77.0765,1.1481,55.4383,69.54
61.919,18.65,29.2601,77.0765,1.1562,58.3906,69.54
62.9271,18.5842,29.2601,77.0765,1.1521,54.9883,69.54
62.9271,18.445,26.0253,77.0765,1.1562,57.5446,69.54
62.9271,18.4538,29.1381,77.0765,1.1401,57.5446,69.54
62.9271,18.5593,29.1381,77.0765,1.1521,57.5446,69.54
62.9271,18.7703,29.1381,77.0765,1.1441,55.2403,69.54
62.9271,18.9286,29.1381,77.0765,1.1481,56.1224,69.54
62.9271,19.0341,29.1381,77.0765,1.1481,58.3906,69.54
62.9271,19.3502,28.8024,77.0765,1.1481,58.3906,69.54
64.0072,19.5058,28.8024,77.0765,1.1401,55.1863,69.54
64.0072,19.6103,22.7294,78.3726,1.1562,58.9307,69.54
64.0072,19.7596,23.6144,76.8425,1.1401,57.2205,69.54
64.0072,19.9761,26.5441,76.8425,1.112,56.6085,69.54
64.0072,19.9666,23.7364,76.8425,1.104,55.0243,69.54
64.0072,20.0806,27.7342,76.8425,1.116,56.0504,69.54
64.0072,20.4464,27.1239,76.8425,1.112,58.8047,69.54
64.0072,20.3654,25.9337,76.8425,1.112,58.8047,69.54
64.0072,20.3481,23.2787,77.8866,1.116,56.1224,69.54
64.0072,20.4496,24.5604,77.8866,1.124,55.3123,69.54
64.0072,20.4496,25.598,77.8866,1.116,58.0666,69.54
64.0072,20.5512,23.6754,77.8866,1.112,58.0666,69.54
64.0072,20.6527,22.8514,76.4825,1.12,56.8245,69.54
64.0072,20.673,26.422,76.4825,1.1562,55.6904,69.54
63.2871,20.4293,27.7648,76.4825,1.1521,56.9865,69.54
63.2871,20.3654,27.368,76.4825,1.1401,59.2367,69.54
63.2871,20.1946,23.2176,77.5266,1.1481,59.2367,69.54
62.189,19.9891,24.0111,77.5266,1.12,57.3105,69.54
62.189,19.7202,28.4667,77.5266,1.1281,58.4807,69.54
62.189,19.4465,29.7179,77.5266,1.124,58.4807,69.54
62.189,18.9423,29.7179,77.5266,1.1321,55.5644,69.54
62.189,18.8319,29.7179,77.5266,1.112,56.3744,69.54
62.189,18.6662,29.7179,77.5266,1.1441,58.3546,69.54
62.189,18.65,29.7179,77.5266,1.1281,55.7984,69.54
61.1989,18.5195,29.1381,77.5266,1.1441,57.9586,65.195
61.1989,18.4417,29.5653,77.5266,1.1521,54.8623,65.195
61.1989,18.2149,29.5653,77.5266,1.1401,54.8623,65.195
60.4608,18.2772,29.5653,77.5266,1.1401,57.7606,65.195
60.4608,18.1041,29.5653,77.5266,1.1441,59.6868,65.195
60.4608,17.9888,29.5653,77.5266,1.1562,56.9505,65.195
60.4608,17.7004,29.5653,77.5266,1.1642,54.6643,65.195
60.4608,17.5506,29.5653,77.5266,1.1562,56.5005,65.195
60.4608,17.3179,29.5653,77.5266,1.1562,58.9307,65.195
60.4608,17.1433,29.1991,77.5266,1.1682,57.3105,65.195
60.4608,16.8688,29.1991,77.5266,1.1441,54.6643,65.195
59.8308,16.8842,29.1991,77.5266,1.1481,55.6904,65.195
59.8308,16.5292,29.1991,77.5266,1.1521,59.7228,65.195
59.8308,16.6003,29.1991,77.5266,1.1642,57.1125,65.195
59.8308,16.481,29.1991,77.5266,1.1642,54.3762,65.195
59.8308,16.3021,29.1991,77.5266,1.1481,57.2745,65.195
59.8308,16.0098,29.1991,77.5266,1.1562,58.0666,65.195
59.0027,16.0098,29.1991,77.5266,1.1481,55.0243,65.195
59.0027,15.8935,29.1991,77.5266,1.1441,56.3744,65.195
